,P-ASP Date,Building / Address,Floor,Unit,GFA (ft??),SA (ft??),Leased / Sold,Price(HK$),Price/ft2(GFA),Price/ft2(SA),Source
125,21/3/2022,Wong Chuk Hang??GRANDVIEW GDN BLK 01                    ,H,         F,412,299,Leased ,"11,000",@27,@37,GOOD PROFIT PROPERTY AGENCY                           
126,20/3/2022,Yau Tong??LAGUNA CITY PH 03 BLK 36                ,12,         A,937,748,Leased ,"20,500",@22,@27,CENTURY 21 HOME-LY PROPERTY AGENCY                    
127,20/3/2022,Yau Tong??LAGUNA CITY PH 01 BLK 02                ,5,         D,857,687,Leased ,"16,800",@20,@24,CENTURY 21 HOME-LY PROPERTY AGENCY                    
128,20/3/2022,Tseung Kwan O??METRO CITY PH 02 TWR 02,M,C,515,363,Leased ,"12,600",@24,@35,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
129,20/3/2022,Aberdeen??COBLE COURT                             ,H,         F,324,269,Leased ,"12,000",@37,@45,GOOD PROFIT PROPERTY AGENCY                           
130,18/3/2022,Yau Tong??LAGUNA CITY PH 03 BLK 34                ,4,         G,644,517,Leased ,"13,500",@21,@26,CENTURY 21 HOME-LY PROPERTY AGENCY                    
131,18/3/2022,Tseung Kwan O??LA CITE NOBLE BLK 03,L,F,774,561,Leased ,"18,000",@23,@32,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
132,17/3/2022,Aberdeen??ABERDEEN CTR BLK L HOI YING COURT       ,H,6,526,432,Leased ,"14,800",@28,@34,GOOD PROFIT PROPERTY AGENCY                           
133,17/3/2022,Aberdeen??YUE ON COURT BLK A (HOS)                ,??????,3,575,469,Leased ,"14,400",@25,@31,GOOD PROFIT PROPERTY AGENCY                           
134,17/3/2022,Aberdeen??ABERDEEN CTR BLK I KONG WING COURT      ,L,3,547,448,Leased ,"14,800",@27,@33,GOOD PROFIT PROPERTY AGENCY                           
