,Name,Adress,SA,Date,Rent
79,City One Shatin・Site 1・Block 1・Middle Floor・Flat C,City One Shatin,327 ft²,2022-05-01,"12,300"
80,Festival City・Phase 1・Tower 1・Upper Floor・Flat Sc,Tai Wai,959 ft²,2022-05-01,"32,500"
81,Centre Stage・Tower 1・Middle Floor・Flat E,Sheung Wan,443 ft²,2022-05-01,"25,000"
82,Tycoon Court・Block B・Upper Floor・Flat 2,Mid-Levels West,839 ft²,2022-05-01,"36,000"
83,Bonham Crest・Upper Floor・Flat A,Mid-Levels West,555 ft²,2022-05-01,"24,000"
84,Taikoo Shing・Harbour View Gardens (East)・(T-40) Begonia Mansion・Lower Floor・Flat F,Taikoo Shing,897 ft²,2022-05-01,"33,000"
85,Baguio Villa・Block 22・Upper Floor・Flat B,Pok Fu Lam,906 ft²,2022-05-01,"33,500"
86,Ontolo・Tower 3・Middle Floor・Flat A,Pak Shek Kok | Tai Po Mid-levels,"1,738 ft²",2022-05-01,"66,000"
87,Dragons Range・Court C Tower 3・Lower Floor・Flat D,Kau To Shan,924 ft²,2022-05-01,"25,500"
88,Shatin Centre・Tung Ning Building (Block A)・Lower Floor・Flat F,Sha Tin,297 ft²,2022-05-01,"12,000"
89,Residence Bel-Air・Phase 4 Bel-Air On The Peak・Tower 9・Lower Floor・Flat B,Residence Bel-air,649 ft²,2022-05-01,"29,000"
90,Residence Bel-Air・Phase 4 Bel-Air On The Peak・Tower 7・Middle Floor・Flat B,Residence Bel-air,707 ft²,2022-05-01,"38,000"
91,Discovery Bay・Ph 3-Parkvale Village・Woodland Court・Middle Floor・Flat D,Discovery Bay,769 ft²,2022-05-01,"22,000"
92,Discovery Bay・Ph 6-Db Plaza・D B Plaza・Lower Floor・Flat 20,Discovery Bay,439 ft²,2022-05-01,"13,500"
93,Discovery Bay・Ph 8-La Costa・Costa Court・Upper Floor・Flat G,Discovery Bay,963 ft²,2022-05-01,"28,500"
94,Discovery Bay・Ph 5-Greenvale Village・Greenmont Court (Block 8)・Upper Floor・Flat E,Discovery Bay,870 ft²,2022-05-01,"21,670"
95,Grand Waterfront・Tower 2・Middle Floor・Flat G,To Kwa Wan,384 ft²,2022-05-01,"14,000"
96,Choi Po Court・Choi Ngan House (Block D)・Middle Floor・Flat 4,Sheung Shui,351 ft²,2022-05-01,"10,000"
97,The Green,Fanling,"1,315 ft²",2022-05-01,"31,500"
98,Lohas Park・Phase 4A Wings At Sea・Tower 1A・Middle Floor・Flat B,Lohas Park,624 ft²,2022-05-01,"18,000"
99,Lohas Park・Phase 5A Malibu・Tower 1A・Upper Floor・Flat D,Lohas Park,560 ft²,2022-05-01,"20,500"
100,The Palazzo・Block 6・Upper Floor・Flat D,Fo Tan,774 ft²,2022-05-01,"24,500"
101,The Palazzo・Block 11・Lower Floor・Flat D,Fo Tan,495 ft²,2022-05-01,"18,000"
102,Kent Court・Block 5・Upper Floor・Flat D,Ho Man Tin,"1,037 ft²",2022-05-01,"36,000"
103,Serene Court・Lower Floor・Flat B,Kowloon Tong,"1,089 ft²",2022-05-01,"35,000"
104,Festival City・Phase 3・Tower 3・Upper Floor・Flat Sc,Tai Wai,958 ft²,2022-05-01,"35,000"
105,The Latitude・Tower 2B・Lower Floor・Flat C,San Po Kong,446 ft²,2022-05-01,"16,000"
106,Vibe Centro・Tower 1A・Lower Floor・Flat E,Kai Tak New Area,350 ft²,2022-05-01,"14,800"
107,Yue Xiu Plaza・Sau Ming Court (Block 1)・Lower Floor・Flat D,San Po Kong,566 ft²,2022-05-01,"19,280"
108,Sky Tower・Block 7・Lower Floor・Flat C,To Kwa Wan,691 ft²,2022-05-01,"27,500"
109,Sky Tower・Block 6・Upper Floor・Flat C,To Kwa Wan,539 ft²,2022-05-01,"19,000"
110,Crown By The Sea・Middle Floor・Flat B,Sam Shing,"1,026 ft²",2022-05-01,"26,000"
111,The Bloomsway・The Laguna Tower 6・Lower Floor・Flat B,So Kwun Wat,309 ft²,2022-05-01,"9,200"
112,Le Pont・Tower 5B・Middle Floor・Flat C,So Kwun Wat,574 ft²,2022-05-01,"13,500"
113,Vision City・Block 3・Middle Floor・Flat G,Tsuen Wan West,523 ft²,2022-05-01,"19,800"
114,Grand Central・Phase 1・Tower 1・Upper Floor・Flat D,Kwun Tong,590 ft²,2022-05-01,"23,000"
115,Yuet Wah Mansion・Lower Floor・Flat C (No. 29),Kwun Tong,660 ft²,2022-05-01,"18,500"
116,One East Coast・Tower 1B・Upper Floor・Flat D,Yau Tong,378 ft²,2022-05-01,"17,500"
117,Grand Central・Phase 1・Tower 2・Lower Floor・Flat F,Kwun Tong,594 ft²,2022-05-01,"21,000"
118,Siu Hong Court・Siu Yin House (Block A)・Upper Floor・Flat 8,Siu Hong,404 ft²,2022-05-01,"10,500"
119,Mount Regency・Phase 2・Tower 2B・Lower Floor・Flat D,Tuen Mun San Hui,412 ft²,2022-05-01,"13,000"
120,Lohas Park・Phase 7A Montara・Tower 2 (2B)・Lower Floor・Flat A,Lohas Park,529 ft²,2022-05-01,"21,500"
121,Lohas Park・Phase 8 Sea To Sky・Tower 1・Middle Floor・Flat B,Lohas Park,743 ft²,2022-05-01,"22,000"
122,Lohas Park・Phase 2A Le Prestige・Four Seasons (Tower 3 - L Wing)・Upper Floor・Flat B,Lohas Park,686 ft²,2022-05-01,"16,500"
123,The Visionary・Tower 9・Upper Floor・Flat B,Tung Chung Town Centre,"1,033 ft²",2022-05-01,"25,300"
124,Telford Gardens・Block U・Middle Floor・Flat 13,Kowloon Bay,547 ft²,2022-05-01,"15,000"
125,Telford Gardens・Block K・Lower Floor・Flat 1,Kowloon Bay,588 ft²,2022-05-01,"18,000"
126,Telford Gardens・Block N・Middle Floor・Flat 8,Kowloon Bay,588 ft²,2022-05-01,"17,500"
127,Telford Gardens・Block M・Upper Floor・Flat 8,Kowloon Bay,556 ft²,2022-05-01,"17,000"
128,Metro Town・Phase 1・Tower 5・Upper Floor・Flat G,Tiu Keng Leng,476 ft²,2022-05-01,"16,500"
129,The Beaumount・Phase 1・Tower 6・Upper Floor・Flat H,Lohas Park,694 ft²,2022-05-01,"16,000"
130,Lohas Park・Phase 4A Wings At Sea・Tower 1A・Middle Floor・Flat A,Lohas Park,842 ft²,2022-05-01,"23,000"
131,Lohas Park・Phase 6 Lp6・Tower 1・Lower Floor・Flat K,Lohas Park,522 ft²,2022-05-01,"15,500"
132,The Wings・II・Tower 3A・Middle Floor・Flat C,Tseung Kwan O,648 ft²,2022-05-01,"23,000"
133,Discovery Park・Phase 3・Block 9・Lower Floor・Flat B,Discovery Park,477 ft²,2022-05-01,"15,000"
134,Caribbean Coast・Phase 3 Carmel Cove・Tower 9・Middle Floor・Flat B,Tung Chung Town Centre,748 ft²,2022-05-01,"16,800"
135,The Visionary・Tower 10・Lower Floor・Flat F,Tung Chung Town Centre,434 ft²,2022-05-01,"12,800"
136,The Visionary・Tower 7・Middle Floor・Flat D,Tung Chung Town Centre,671 ft²,2022-05-01,"19,000"
137,Uptown・Tower 3・Lower Floor・Flat C,Hung Shui Kiu North New Development Area,764 ft²,2022-05-01,"14,500"
138,Uptown・Tower 3・Upper Floor・Flat D,Hung Shui Kiu North New Development Area,531 ft²,2022-05-01,"12,800"
139,Wetland Seasons Park・Phase 3・Tower 1・Lower Floor・Flat A5,Tin Shui Wai,726 ft²,2022-05-01,"19,500"
140,Vianni Cove・Tower 1・Middle Floor・Flat C,Tin Shui Wai,554 ft²,2022-05-01,"12,800"
141,Park Central・Phase 2・Tower 12・Upper Floor・Flat A,Tseung Kwan O,467 ft²,2022-05-01,"16,500"
142,La Cite Noble・Block 5・Lower Floor・Flat B,Hang Hau,377 ft²,2022-05-01,"14,000"
143,Lohas Park・Phase 8 Sea To Sky・Tower 1・Lower Floor・Flat C,Lohas Park,481 ft²,2022-05-01,"16,800"
144,Yan Ming Court・Yan Lan House (Block D)・Upper Floor・Flat 6,Po Lam,401 ft²,2022-05-01,"12,000"
145,Elegant Terrace・Tower 1・Lower Floor・Flat C,Mid-Levels West,"1,110 ft²",2022-05-01,"46,000"
146,The Rednaxela・Lower Floor・Flat A,Mid-Levels West,691 ft²,2022-05-01,"33,000"
147,Carble Garden・Lower Floor・Flat B,Mid-Levels West,755 ft²,2022-05-01,"28,000"
148,Tsuen Tak Gardens・Block D・Lower Floor・Flat C,Tsuen King Circuit,340 ft²,2022-05-01,"10,000"
149,The Panorama・Middle Floor・Flat F,Belvedere,526 ft²,2022-05-01,"15,000"
150,Mei Foo Sun Chuen・Phase 5・10-12 Nassau Street・Upper Floor・Flat C No. 12,Mei Foo,507 ft²,2022-05-01,"17,500"
151,Mei Foo Sun Chuen・Phase 1・9-11 Broadway・Upper Floor・Flat D No. 11,Mei Foo,706 ft²,2022-05-01,"20,000"
152,Ching Lai Court・Lai Hang House (Block A)・Upper Floor・Flat 7,Nob Hill,403 ft²,2022-05-01,"11,800"
153,Ching Lai Court・Lai Hong House (Block E)・Middle Floor・Flat 6,Nob Hill,440 ft²,2022-05-01,"13,800"
154,Manhattan Hill・Tower 3・Middle Floor・Flat F,Mei Foo,558 ft²,2022-05-01,"21,000"
155,Marple Court・Middle Floor・Flat D,Kowloon Tong,678 ft²,2022-05-01,"24,500"
156,Mantin Heights・Tower 3・Upper Floor・Flat F,Ho Man Tin,689 ft²,2022-05-01,"28,000"
157,Belmont Heights・Upper Floor・Flat C,Kowloon Tong,547 ft²,2022-05-01,"22,000"
158,Lohas Park・Phase 1 The Capitol・Lucerne (Tower 2 - L Wing)・Upper Floor・Flat B,Lohas Park,681 ft²,2022-05-01,"17,000"
159,Flora Plaza・Block 7・Upper Floor・Flat C,Fanling,413 ft²,2022-05-01,"11,800"
160,Crescent Green,Kam Tin,"2,099 ft²",2022-05-01,"57,500"
161,Lohas Park・Phase 9A Marini・Tower 3 (3A)・Middle Floor・Flat C,Lohas Park,380 ft²,2022-05-01,"13,600"
162,The Papillons,Tseung Kwan O,"2,555 ft²",2022-05-01,"95,000"
163,Central Park Towers・Phase 1・Tower 2・Lower Floor・Flat F,Tin Shui Wai,493 ft²,2022-05-01,"12,200"
