,address,district,S.A ft,deal date,deal price
4345,Fung Cheung House・Upper Floor・Flat A,Wong Tai Sin,S.A. 431 ft²,"
                2022-02-01
              ","$  13,000"
4346,Lohas Park・Phase 3A Hemera・Emerald (Tower 2)・Upper Floor・Flat Rc,Lohas Park,S.A. 757 ft²,"
                2022-02-01
              ","$  21,800"
4347,Euston Court・Tower 1・Lower Floor・Flat A,Mid-Levels West,S.A. 786 ft²,"
                2022-02-01
              ","$  31,000"
4348,Manhattan Heights・Middle Floor・Flat G,Kennedy Town,S.A. 521 ft²,"
                2022-02-01
              ","$  28,000"
4349,Two．Artlane・Middle Floor・Flat H,Sai Ying Pun,S.A. 214 ft²,"
                2022-02-01
              ","$  13,800"
4350,Greenwood Villas・Phase 2・Block A・Flat 2,Lai Wan,"S.A. 1,049 ft²","
                2022-02-01
              ","$  32,000"
4351,Mei Foo Sun Chuen・Phase 1・5-7 Broadway・Upper Floor・Flat C No. 7,Mei Foo,S.A. 719 ft²,"
                2022-02-01
              ","$  23,600"
4352,Cullinan West・Phase 2A・Tower 1B・Upper Floor・Flat C,Nam Cheong Station,S.A. 360 ft²,"
                2022-02-01
              ","$  18,500"
4353,Yau Yat Lau・Block D・Flat D2,Yau Yat Tsuen,S.A. 584 ft²,"
                2022-02-01
              ","$  20,500"
4354,Cullinan West・Phase 2A・Tower 2B・Upper Floor・Flat J,Nam Cheong Station,S.A. 381 ft²,"
                2022-02-01
              ","$  18,000"
4355,Metro City・Phase 1・Tower 4・Lower Floor・Flat E,Po Lam,S.A. 698 ft²,"
                2022-02-01
              ","$  19,500"
4356,The Hermitage・Tower 6・Middle Floor・Flat F,Olympic Station,S.A. 561 ft²,"
                2022-02-01
              ","$  26,000"
4357,Skypark・Lower Floor・Flat C6,Mong Kok,S.A. 309 ft²,"
                2022-02-01
              ","$  15,300"
4358,Seven Victory Avenue・Lower Floor・Flat G,Ho Man Tin,S.A. 248 ft²,"
                2022-02-01
              ","$  14,300"
4359,Mount Pavilia・Tower 9・Lower Floor・Flat A,Clear Water Bay,"S.A. 1,836 ft²","
                2022-02-01
              ","$  63,000"
4360,The Horizon・Phase 1・Court A Tower 1・Middle Floor・Flat B,Pak Shek Kok | Tai Po Mid-levels,"S.A. 1,411 ft²","
                2022-02-01
              ","$  56,500"
4361,Residence Oasis・Tower 6・Middle Floor・Flat C,Hang Hau,S.A. 488 ft²,"
                2022-02-01
              ","$  17,500"
4362,Central Park Towers・Phase 1・Tower 6・Middle Floor・Flat C,Tin Shui Wai,S.A. 493 ft²,"
                2022-02-01
              ","$  12,000"
4363,Kingswood Villas・Phase 6 Maywood Court・Block 8・Upper Floor・Flat H,Tin Shui Wai,S.A. 540 ft²,"
                2022-02-01
              ","$  11,500"
4364,Kingswood Villas・Phase 7 Kenswood Court・Block 12・Lower Floor・Flat E,Tin Shui Wai,S.A. 446 ft²,"
                2022-02-01
              ","$  11,000"
4365,Kingswood Villas・Phase 5 Lynwood Court・Block 9・Upper Floor・Flat C,Tin Shui Wai,S.A. 546 ft²,"
                2022-02-01
              ","$  12,300"
4366,The Trend Plaza・Block C・Upper Floor・Flat 6,Tuen Mun Town Centre,S.A. 272 ft²,"
                2022-02-01
              ","$  10,200"
4367,Oma Oma・Tower 1A・Upper Floor・Flat G,So Kwun Wat,S.A. 449 ft²,"
                2022-02-01
              ","$  11,000"
4368,Oma Oma・Tower 1A・Upper Floor・Flat F,So Kwun Wat,S.A. 453 ft²,"
                2022-02-01
              ","$  11,500"
4369,Bellagio・Phase 3・Tower 3・Middle Floor・Flat F,Sham Tseng,S.A. 519 ft²,"
                2022-02-01
              ","$  16,500"
4370,Emerald Bay・Phase 1・Tower 1・Middle Floor・Flat H,So Kwun Wat,S.A. 223 ft²,"
                2022-02-01
              ","$  7,200"
4371,Avignon・Tower 10・Upper Floor・Flat A,So Kwun Wat,"S.A. 1,101 ft²","
                2022-02-01
              ","$  24,000"
4372,Oma Oma・Tower 2B・Middle Floor・Flat G,So Kwun Wat,S.A. 750 ft²,"
                2022-02-01
              ","$  26,000"
4373,Ka On Garden・Ka Lung Court (Block 2)・Flat D,Ping Shan,S.A. 802 ft²,"
                2022-02-01
              ","$  17,000"
4374,Double Cove・Phase 2 Double Cove Starview・Block 19・Upper Floor・Flat A,Ma On Shan,"S.A. 1,379 ft²","
                2022-02-01
              ","$  49,000"
4375,Lohas Park・Phase 8 Sea To Sky・Tower 3・Middle Floor・Flat F,Lohas Park,S.A. 473 ft²,"
                2022-02-01
              ","$  16,500"
4376,Ocean Shores・Phase 2・Tower 8・Middle Floor・Flat H,Tiu Keng Leng,S.A. 639 ft²,"
                2022-02-01
              ","$  21,000"
4377,On Ning Garden・Block 2・Middle Floor・Flat H,Hang Hau,S.A. 431 ft²,"
                2022-02-01
              ","$  14,600"
4378,Ocean Shores・Phase 3・Tower 11・Lower Floor・Flat H,Tiu Keng Leng,S.A. 503 ft²,"
                2022-02-01
              ","$  18,000"
4379,Soho 38・Upper Floor・Flat A,Mid-Levels West,S.A. 501 ft²,"
                2022-02-01
              ","$  35,000"
4380,Two．Artlane・Middle Floor・Flat F,Sai Ying Pun,S.A. 282 ft²,"
                2022-02-01
              ","$  18,500"
4381,Smithfield Terrace・Block A・Lower Floor・Flat 5,Kennedy Town,S.A. 224 ft²,"
                2022-02-01
              ","$  10,500"
4382,Metro Harbour View・Phase 2・Tower 5・Middle Floor・Flat G,Tai Kok Tsui,S.A. 494 ft²,"
                2022-02-01
              ","$  21,000"
4383,Heng Fa Chuen・Block 10・Lower Floor・Flat 7,Heng Fa Chuen,S.A. 454 ft²,"
                2022-02-01
              ","$  14,500"
4384,Island Garden・Tower 2・Lower Floor・Flat D,Shau Kei Wan,S.A. 695 ft²,"
                2022-02-01
              ","$  23,500"
4385,Hanford Garden・Block 2・Upper Floor・Flat D,Tuen Mun South,S.A. 584 ft²,"
                2022-02-01
              ","$  14,500"
4386,Heng Fa Chuen・Block 33・Middle Floor・Flat 6,Heng Fa Chuen,S.A. 499 ft²,"
                2022-02-01
              ","$  16,608"
4387,Island Resort・Tower 7・Upper Floor・Flat F,Siu Sai Wan,S.A. 455 ft²,"
                2022-02-01
              ","$  16,500"
4388,Hong Kong Garden・Phase 2・Dominion Heights (Block 8)・Upper Floor・Flat C,Tsing Lung Tau,S.A. 715 ft²,"
                2022-02-01
              ","$  17,800"
4389,Napa・Tower 6A・Upper Floor・Flat B,So Kwun Wat,S.A. 583 ft²,"
                2022-02-01
              ","$  14,000"
4390,Hong Kong Garden・Phase 3・Block 17・Middle Floor・Flat D,Tsing Lung Tau,S.A. 947 ft²,"
                2022-02-01
              ","$  19,000"
4391,Royal Terrace・Lower Floor・Flat G,Quarry Bay,S.A. 379 ft²,"
                2022-02-01
              ","$  17,000"
4392,High West・Upper Floor・Flat D,Shek Tong Tsui,S.A. 293 ft²,"
                2022-02-01
              ","$  17,500"
4393,Royal Court・Middle Floor・No. 52A,Tai Hang Mid-Levels,S.A. 661 ft²,"
                2022-02-01
              ","$  29,500"
4394,Bowen Place・Middle Floor・Flat A,Mid-Levels Central,"S.A. 1,445 ft²","
                2022-02-01
              ","$  73,000"
4395,Novum East・Upper Floor・Flat N,Quarry Bay,S.A. 216 ft²,"
                2022-02-01
              ","$  13,500"
4396,Kornhill・Block P (Flat 9 - 16)・Middle Floor・Flat 13,Kornhill,S.A. 616 ft²,"
                2022-02-01
              ","$  20,000"
4397,Nan Fung Sun Chuen・Block 9・Lower Floor・Flat B,Quarry Bay,S.A. 391 ft²,"
                2022-02-01
              ","$  13,000"
4398,High Cliff・Lower Floor・Flat A,Mid-Levels East,"S.A. 2,703 ft²","
                2022-02-01
              ","$  128,000"
4399,Beverley Heights・Block 3・Lower Floor・Flat A,North Point Mid-Levels,S.A. 718 ft²,"
                2022-02-01
              ","$  22,300"
4400,Glory Rise・Lower Floor・Flat C,North Point,S.A. 200 ft²,"
                2022-02-01
              ","$  10,800"
4401,Illumination Terrace・Block 2・Middle Floor・Flat E,Tai Hang Mid-Levels,S.A. 616 ft²,"
                2022-02-01
              ","$  25,500"
4402,Rosedale・Upper Floor・No. 6,Tai Hang Mid-Levels,"S.A. 1,626 ft²","
                2022-02-01
              ","$  59,000"
4403,The Leighton Hill・Tower 9・Upper Floor・Flat A,Happy Valley,"S.A. 1,087 ft²","
                2022-02-01
              ","$  61,000"
4404,Grand Deco Tower・Lower Floor・Flat B,Tai Hang Mid-Levels,"S.A. 1,026 ft²","
                2022-02-01
              ","$  35,000"
4405,Illumination Terrace・Block 1・Middle Floor・Flat H,Tai Hang Mid-Levels,S.A. 616 ft²,"
                2022-02-01
              ","$  27,500"
4406,Centre Place・Lower Floor・Flat B,Sai Ying Pun,S.A. 578 ft²,"
                2022-02-01
              ","$  28,000"
4407,Park Avenue・Phase 1・Tower 6・Middle Floor・Flat C,Olympic Station,S.A. 848 ft²,"
                2022-02-01
              ","$  34,500"
4408,Metro Harbour View・Phase 1・Tower 2・Lower Floor・Flat C,Tai Kok Tsui,S.A. 600 ft²,"
                2022-02-01
              ","$  24,200"
4409,The Long Beach・Tower 3・Lower Floor・Flat B,Olympic Station,S.A. 547 ft²,"
                2022-02-01
              ","$  23,500"
4410,The Hermitage・Tower 6・Lower Floor・Flat A,Olympic Station,S.A. 531 ft²,"
                2022-02-01
              ","$  23,500"
4411,Princess Mansion・Lower Floor・Flat 2,North Point,S.A. 384 ft²,"
                2022-02-01
              ","$  13,000"
4412,The Consonance・Upper Floor・Flat E,Tin Hau,S.A. 265 ft²,"
                2022-02-01
              ","$  16,000"
4413,Rambler Crest・Tower 2・Middle Floor・Flat B,Tsing Yi,S.A. 485 ft²,"
                2022-02-01
              ","$  13,500"
4414,Tierra Verde・Phase 2・Block 12・Upper Floor・Flat D,Tsing Yi,S.A. 653 ft²,"
                2022-02-01
              ","$  24,000"
4415,Uptown・Tower 1・Middle Floor・Flat C,Hung Shui Kiu North New Development Area,S.A. 958 ft²,"
                2022-02-01
              ","$  19,800"
4416,Imperial Villas・Phase 2・Tower 11・Flat A,Ping Shan,S.A. 372 ft²,"
                2022-02-01
              ","$  9,200"
4417,Lohas Park・Phase 6 Lp6・Tower 2・Upper Floor・Flat C,Lohas Park,"S.A. 1,439 ft²","
                2022-02-01
              ","$  48,000"
4418,Lohas Park・Phase 7A Montara・Tower 2 (2B)・Upper Floor・Flat E,Lohas Park,S.A. 369 ft²,"
                2022-02-01
              ","$  14,800"
4419,Lohas Park・Phase 5A Malibu・Tower 1A・Upper Floor・Flat B,Lohas Park,S.A. 850 ft²,"
                2022-02-01
              ","$  28,500"
4420,Park Central・Phase 1・Tower 8・Lower Floor・Flat F,Tseung Kwan O,S.A. 406 ft²,"
                2022-02-01
              ","$  14,500"
4421,Lohas Park・Phase 1 The Capitol・Oslo (Tower 5 - L Wing)・Middle Floor・Flat D,Lohas Park,S.A. 705 ft²,"
                2022-02-01
              ","$  18,500"
4422,Lohas Park・Phase 1 The Capitol・Banff (Tower 1 - L Wing)・Lower Floor・Flat C,Lohas Park,S.A. 729 ft²,"
                2022-02-01
              ","$  18,500"
4423,The Wings・II・Tower 1A・Upper Floor・Flat A,Tseung Kwan O,S.A. 551 ft²,"
                2022-02-01
              ","$  20,500"
4424,Lohas Park・Phase 8 Sea To Sky・Tower 3・Lower Floor・Flat A,Lohas Park,"S.A. 1,057 ft²","
                2022-02-01
              ","$  31,000"
4425,Festival City・Phase 3・Tower 3・Middle Floor・Flat Nd,Tai Wai,S.A. 757 ft²,"
                2022-02-01
              ","$  25,000"
4426,Aspen Crest・Upper Floor・Flat B,Wong Tai Sin,S.A. 381 ft²,"
                2022-02-01
              ","$  15,800"
4427,Sky Tower・Block 1・Middle Floor・Flat F,To Kwa Wan,S.A. 540 ft²,"
                2022-02-01
              ","$  20,500"
4428,Seaside Sonata・Tower 3・Lower Floor・Flat G,Sham Shui Po,S.A. 505 ft²,"
                2022-02-01
              ","$  16,500"
4429,The Austin・Tower 2A・Upper Floor・Flat B,Kowloon Station,S.A. 583 ft²,"
                2022-02-01
              ","$  29,000"
4430,Bay View Garden・Block 1・Middle Floor・Flat G,Ngau Chi Wan,S.A. 637 ft²,"
                2022-02-01
              ","$  19,300"
4431,Savannah・Tower 5A・Lower Floor・Flat G,Tseung Kwan O,S.A. 437 ft²,"
                2022-02-01
              ","$  16,800"
4432,The Wings・The Wings・Tower 7・Upper Floor・Flat E,Tseung Kwan O,S.A. 538 ft²,"
                2022-02-01
              ","$  18,000"
4433,Lohas Park・Phase 8 Sea To Sky・Tower 1・Lower Floor・Flat E,Lohas Park,S.A. 467 ft²,"
                2022-02-01
              ","$  15,500"
4434,Mount Pavilia・Tower 20・Upper Floor・Flat D,Clear Water Bay,S.A. 906 ft²,"
                2022-02-01
              ","$  40,000"
4435,The Metro City・Phase 2・Tower 7・Upper Floor・Flat B,Po Lam,S.A. 363 ft²,"
                2022-02-01
              ","$  13,300"
4436,K. City・Tower 2・Upper Floor・Flat F,Kai Tak New Area,S.A. 501 ft²,"
                2022-02-01
              ","$  19,000"
4437,Timber House・Lower Floor・Flat A2,Ho Man Tin,S.A. 0 ft²,"
                2022-02-01
              ","$  21,000"
4438,The Hamptons・Middle Floor・Flat A,Kowloon Tong,"S.A. 2,003 ft²","
                2022-02-01
              ","$  110,000"
4439,K‧Summit・Tower 2A・Lower Floor・Flat G,Kai Tak New Area,S.A. 333 ft²,"
                2022-02-01
              ","$  15,000"
4440,The Arch・Sun Tower (Tower 1A)・Middle Floor・Flat C,Kowloon Station,S.A. 420 ft²,"
                2022-02-01
              ","$  24,500"
4441,The Austin・Tower 2A・Upper Floor・Flat B,Kowloon Station,S.A. 583 ft²,"
                2022-02-01
              ","$  26,000"
4442,The Hermitage・Tower 7・Middle Floor・Flat D,Olympic Station,S.A. 333 ft²,"
                2022-02-01
              ","$  15,500"
4443,The Latitude・Tower 7・Lower Floor・Flat D,San Po Kong,S.A. 626 ft²,"
                2022-02-01
              ","$  23,800"
4444,The Zutten・Upper Floor・Flat C,To Kwa Wan,S.A. 275 ft²,"
                2022-02-01
              ","$  14,000"
4445,Grand Central・Phase 2・Tower 3・Upper Floor・Flat L,Kwun Tong,S.A. 592 ft²,"
                2022-02-01
              ","$  20,500"
4446,Sceneway Garden・Block 15・Upper Floor・Flat A,Lam Tin,S.A. 614 ft²,"
                2022-02-01
              ","$  19,500"
4447,Seaside Sonata・Tower 5・Upper Floor・Flat J,Sham Shui Po,S.A. 485 ft²,"
                2022-02-01
              ","$  20,000"
4448,Upper Riverbank・Tower 2・Middle Floor・Flat F,Kai Tak New Area,S.A. 752 ft²,"
                2022-02-01
              ","$  30,000"
4449,K‧Summit・Tower 2A・Upper Floor・Flat F,Kai Tak New Area,S.A. 325 ft²,"
                2022-02-01
              ","$  15,800"
4450,Mantin Heights・Tower 1・Lower Floor・Flat G,Ho Man Tin,S.A. 579 ft²,"
                2022-02-01
              ","$  22,000"
4451,Seaside Sonata・Tower 3・Upper Floor・Flat C,Sham Shui Po,S.A. 474 ft²,"
                2022-02-01
              ","$  18,000"
4452,Lohas Park・Phase 7A Montara・Tower 2 (2A)・Middle Floor・Flat C,Lohas Park,S.A. 510 ft²,"
                2022-02-01
              ","$  16,000"
4453,Lohas Park・Phase 7A Montara・Tower 2 (2A)・Middle Floor・Flat D,Lohas Park,S.A. 363 ft²,"
                2022-02-01
              ","$  14,000"
4454,Maritime Bay・Block 2・Middle Floor・Flat H,Hang Hau,S.A. 606 ft²,"
                2022-02-01
              ","$  20,000"
4455,Lohas Park・Phase 9A Marini・Tower 3 (3A)・Upper Floor・Flat C,Lohas Park,S.A. 381 ft²,"
                2022-02-01
              ","$  14,750"
4456,Metro Town・Phase 2 Le Point・Tower 6・Middle Floor・Flat B,Tiu Keng Leng,S.A. 503 ft²,"
                2022-02-01
              ","$  15,300"
4457,Lohas Park・Phase 7A Montara・Tower 2 (2A)・Upper Floor・Flat D,Lohas Park,S.A. 362 ft²,"
                2022-02-01
              ","$  14,000"
4458,Eltanin‧Square Mile・Tower 2・Middle Floor・Flat F,Tai Kok Tsui,S.A. 198 ft²,"
                2022-02-01
              ","$  11,000"
4459,Sorrento・Phase 2・Block 2・Upper Floor・Flat B,Kowloon Station,S.A. 919 ft²,"
                2022-02-01
              ","$  42,000"
4460,The Metro City・Phase 3 The Metropolis・Tower 1・Middle Floor・Flat F,Po Lam,S.A. 626 ft²,"
                2022-02-01
              ","$  22,000"
4461,Lohas Park・Phase 6 Lp6・Tower 5・Upper Floor・Flat L,Lohas Park,S.A. 307 ft²,"
                2022-02-01
              ","$  13,000"
4462,The Beaumount・Phase 1・Tower 5・Middle Floor・Flat G,Lohas Park,S.A. 498 ft²,"
                2022-02-01
              ","$  17,000"
4463,Lohas Park・Phase 8 Sea To Sky・Tower 1・Upper Floor・Flat C,Lohas Park,S.A. 481 ft²,"
                2022-02-01
              ","$  17,000"
4464,Metro Town・Phase 1・Tower 2・Upper Floor・Flat G,Tiu Keng Leng,S.A. 476 ft²,"
                2022-02-01
              ","$  17,300"
4465,Lohas Park・Phase 2A Le Prestige・Mona Lisa (Tower 1 - R Wing)・Middle Floor・Flat D,Lohas Park,S.A. 977 ft²,"
                2022-02-01
              ","$  24,500"
4466,Cullinan West・Phase 2A・Tower 2B・Upper Floor・Flat B,Nam Cheong Station,S.A. 530 ft²,"
                2022-02-01
              ","$  27,000"
4467,Edition 178・Upper Floor・Flat G,Ha Kwai Chung,S.A. 397 ft²,"
                2022-02-01
              ","$  16,500"
4468,My Place・Lower Floor・Flat A,To Kwa Wan,S.A. 273 ft²,"
                2022-02-01
              ","$  12,000"
4469,Claymore Lodge・Middle Floor・Flat B,Happy Valley,S.A. 290 ft²,"
                2022-02-01
              ","$  13,000"
4470,The Leighton Hill・Tower 9・Lower Floor・Flat A,Happy Valley,"S.A. 1,087 ft²","
                2022-02-01
              ","$  60,500"
4471,Coastal Skyline・Phase 3 La Rossa・La Rossa B (Tower 8)・Lower Floor・Flat A,Tung Chung Town Centre,S.A. 777 ft²,"
                2022-02-01
              ","$  21,000"
4472,Tung Chung Crescent・Phase 2・Block 5・Middle Floor・Flat C,Tung Chung Town Centre,S.A. 607 ft²,"
                2022-02-01
              ","$  17,000"
4473,Coastal Skyline・Phase 1・Block 5・Upper Floor・Flat B,Tung Chung Town Centre,S.A. 874 ft²,"
                2022-02-01
              ","$  20,500"
4474,Coastal Skyline・Phase 1・Block 2・Middle Floor・Flat G,Tung Chung Town Centre,S.A. 485 ft²,"
                2022-02-01
              ","$  17,500"
4475,Caribbean Coast・Phase 3 Carmel Cove・Tower 11・Lower Floor・Flat A,Tung Chung Town Centre,S.A. 912 ft²,"
                2022-02-01
              ","$  22,500"
4476,De Novo・Tower H1・Middle Floor・Flat F,Kai Tak New Area,S.A. 558 ft²,"
                2022-02-01
              ","$  17,300"
4477,Lohas Park・Phase 9A Marini・Tower 3 (3B)・Lower Floor・Flat E,Lohas Park,S.A. 379 ft²,"
                2022-02-01
              ","$  14,000"
4478,Lohas Park・Phase 7A Montara・Tower 2 (2A)・Middle Floor・Flat B,Lohas Park,S.A. 775 ft²,"
                2022-02-01
              ","$  22,500"
4479,Chuang's Heights・Lower Floor・Flat A,Shau Kei Wan,S.A. 353 ft²,"
                2022-02-01
              ","$  14,300"
4480,Park Island・Phase 5 Oceancrest・Tower 27・Middle Floor・Flat F,Ma Wan,S.A. 574 ft²,"
                2022-02-01
              ","$  15,000"
4481,Park Island・Phase 3・Block 19・Upper Floor・Flat G,Ma Wan,S.A. 532 ft²,"
                2022-02-01
              ","$  14,500"
4482,Grand Promenade・Tower 2・Upper Floor・Flat H,Sai Wan Ho,S.A. 490 ft²,"
                2022-02-01
              ","$  20,000"
4483,Richland Garden・Block 3・Middle Floor・Flat G,Tuen Mun Ferry Pier,S.A. 375 ft²,"
                2022-02-01
              ","$  12,300"
4484,One Beacon Hill・Phase 3・Tower 12・Lower Floor・Flat D,Kowloon Tong,S.A. 990 ft²,"
                2022-02-01
              ","$  36,000"
4485,Belvedere Garden・Phase 2・Block 7・Lower Floor・Flat A,Belvedere,S.A. 668 ft²,"
                2022-02-01
              ","$  17,000"
4486,Greenview Court・Block 1・Upper Floor・Flat A,Belvedere,S.A. 703 ft²,"
                2022-02-01
              ","$  15,800"
4487,Tsuen Kam Centre・Block 1・Lower Floor・Flat B,Tsuen Wan Town Centre,S.A. 375 ft²,"
                2022-02-01
              ","$  10,500"
4488,Seaside Sonata・Tower 2・Lower Floor・Flat D,Sham Shui Po,S.A. 723 ft²,"
                2022-02-01
              ","$  23,000"
4489,The Esplanade・Upper Floor・Flat H,Tuen Mun South,S.A. 224 ft²,"
                2022-02-01
              ","$  8,000"
4490,Royal Peninsula・Block 4・Middle Floor・Flat C,Whampoa,S.A. 922 ft²,"
                2022-02-01
              ","$  37,000"
4491,Harbour Place・Tower 6・Upper Floor・Flat H,Whampoa,S.A. 590 ft²,"
                2022-02-01
              ","$  22,000"
4492,Laguna Verde・Phase 3 Costa Del Sol・Tower 15・Middle Floor・Flat F,Laguna,S.A. 561 ft²,"
                2022-02-01
              ","$  23,000"
4493,City One Shatin・Site 3・Block 30・Upper Floor・Flat B,City One Shatin,S.A. 451 ft²,"
                2022-02-01
              ","$  15,800"
4494,Mei Foo Sun Chuen・Phase 8・126-128 Broadway・Upper Floor・Flat C No. 128,Mei Foo,S.A. 670 ft²,"
                2022-02-01
              ","$  21,000"
4495,The Arch・Star Tower (Tower 2)・Upper Floor・Flat D,Kowloon Station,"S.A. 1,131 ft²","
                2022-02-01
              ","$  55,000"
4496,Wah Yuen Chuen・Wah Yan Court (Block 1)・Upper Floor・Flat A,Wah King,S.A. 549 ft²,"
                2022-02-01
              ","$  16,500"
4497,Lohas Park・Phase 8 Sea To Sky・Tower 1・Upper Floor・Flat C,Lohas Park,S.A. 481 ft²,"
                2022-02-01
              ","$  17,500"
4498,Nan Fung Sun Chuen・Block 5・Middle Floor・Flat C,Quarry Bay,S.A. 391 ft²,"
                2022-02-01
              ","$  15,800"
4499,Harbour Green・Tower 3・Middle Floor・Flat A,Olympic Station,S.A. 482 ft²,"
                2022-02-01
              ","$  19,000"
4500,Mount Davis・Lower Floor・Flat A,Kennedy Town,S.A. 818 ft²,"
                2022-02-01
              ","$  42,000"
4501,Chelsea Heights・Phase 1・Block 1・Upper Floor・Flat C,Tuen Mun North,S.A. 679 ft²,"
                2022-02-01
              ","$  19,000"
4502,Tai Hing Gardens・Phase 2・Tower 10・Upper Floor・Flat A,Tuen Mun North,S.A. 544 ft²,"
                2022-02-01
              ","$  13,500"
4503,Park Central・Phase 1・Tower 9・Middle Floor・Flat C,Tseung Kwan O,S.A. 406 ft²,"
                2022-02-01
              ","$  15,800"
4504,Tseung Kwan O Plaza・Phase 1・Tower 1・Upper Floor・Flat E,Tseung Kwan O,S.A. 414 ft²,"
                2022-02-01
              ","$  15,800"
4505,Metro Town・Phase 2 Le Point・Tower 10・Upper Floor・Flat A,Tiu Keng Leng,S.A. 651 ft²,"
                2022-02-01
              ","$  20,000"
4506,The Arch・Moon Tower (Tower 2A)・Lower Floor・Flat A,Kowloon Station,S.A. 953 ft²,"
                2022-02-01
              ","$  47,000"
4507,The Arch・Star Tower (Tower 2)・Upper Floor・Flat E,Kowloon Station,S.A. 534 ft²,"
                2022-02-01
              ","$  30,000"
4508,Whampoa Garden・Phase 2 Cherry Mansions・Block 10・Middle Floor・Flat A,Whampoa,S.A. 389 ft²,"
                2022-02-01
              ","$  15,500"
4509,Double Cove・Phase 4 Double Cove Grandview・Block 7・Middle Floor・Flat G,Ma On Shan,S.A. 564 ft²,"
                2022-02-01
              ","$  18,500"
4510,Sea Crest Villa・Phase 3・Block 7・Upper Floor・Flat D,Sham Tseng,S.A. 460 ft²,"
                2022-02-01
              ","$  13,500"
4511,La Cresta・Tower 3・Upper Floor・Flat C,Kau To Shan,"S.A. 1,602 ft²","
                2022-02-01
              ","$  63,000"
4512,Green Code・Tower 3・Lower Floor・Flat F,Fanling,S.A. 324 ft²,"
                2022-02-01
              ","$  10,500"
4513,Green Code・Tower 1・Lower Floor・Flat E,Fanling,S.A. 300 ft²,"
                2022-02-01
              ","$  11,000"
4514,The Regent・Tower 1・Middle Floor・Flat G,Pak Shek Kok | Tai Po Mid-levels,S.A. 583 ft²,"
                2022-02-01
              ","$  17,000"
4515,"Fairview Park・Section H, 3Rd Street",Palm Springs | Fairview,S.A. 848 ft²,"
                2022-02-01
              ","$  26,800"
4516,Tai Po Centre・Phase 2・Block 4・Upper Floor・Flat E,Tai Po Town Centre,S.A. 299 ft²,"
                2022-02-01
              ","$  11,000"
4517,Discovery Park・Phase 2・Block 7・Upper Floor・Flat F,Discovery Park,S.A. 485 ft²,"
                2022-02-01
              ","$  14,800"
4518,Wah Lok Mansion・Middle Floor・Flat A,Chi Lok,S.A. 396 ft²,"
                2022-02-01
              ","$  8,800"
4519,Kingswood Villas・Phase 6 Maywood Court・Block 7・Upper Floor・Flat E,Tin Shui Wai,S.A. 441 ft²,"
                2022-02-01
              ","$  12,000"
4520,Wetland Seasons Park・Phase 3・Tower 1・Lower Floor・Flat B3,Tin Shui Wai,S.A. 464 ft²,"
                2022-02-01
              ","$  13,500"
4521,Kingswood Villas・Phase 1 Locwood Court・Block 14・Upper Floor・Flat D,Tin Shui Wai,S.A. 551 ft²,"
                2022-02-01
              ","$  13,500"
4522,Tin Yau Court・Yau Hong House (Block A)・Middle Floor・Flat 7,Tin Shui Wai,S.A. 435 ft²,"
                2022-02-01
              ","$  11,000"
4523,Kingswood Villas・Phase 7 Kenswood Court・Block 14・Lower Floor・Flat A,Tin Shui Wai,S.A. 0 ft²,"
                2022-02-01
              ","$  13,500"
4524,Liberte・Block 7・Lower Floor・Flat C,Four Little Dragons,S.A. 517 ft²,"
                2022-02-01
              ","$  18,800"
4525,Mount One・Upper Floor・Flat 2B,Fanling,S.A. 710 ft²,"
                2022-02-01
              ","$  19,500"
4526,Ocean Pride・Phase 3A Ocean Supreme・Tower 3B・Middle Floor・Flat A,Tsuen Wan West,S.A. 530 ft²,"
                2022-02-01
              ","$  21,000"
4527,Summit Terrace・Block 3・Lower Floor・Flat C,Tsuen King Circuit,S.A. 433 ft²,"
                2022-02-01
              ","$  14,500"
4528,Vision City・Block 2・Upper Floor・Flat C,Tsuen Wan West,S.A. 827 ft²,"
                2022-02-01
              ","$  29,500"
4529,Yoho Town・Phase 2 Yoho Midtown・Block M3・Middle Floor・Flat A,Yuen Long Station,S.A. 443 ft²,"
                2022-02-01
              ","$  14,500"
4530,Sol City・Tower 3・Middle Floor・Flat E,Long Ping,S.A. 322 ft²,"
                2022-02-01
              ","$  13,500"
4531,Grand Yoho・Phase 1・Tower 10・Middle Floor・Flat B,Yuen Long Station,S.A. 780 ft²,"
                2022-02-01
              ","$  26,000"
4532,Oceanaire・Tower 3B・Middle Floor・Flat B,Ma On Shan,S.A. 757 ft²,"
                2022-02-01
              ","$  22,000"
4533,City One Shatin・Site 3・Block 29・Upper Floor・Flat A,City One Shatin,S.A. 451 ft²,"
                2022-02-01
              ","$  17,500"
4534,City One Shatin・Site 5・Block 51・Lower Floor・Flat G,City One Shatin,S.A. 304 ft²,"
                2022-02-01
              ","$  12,500"
4535,Broadview Terrace・Middle Floor・Flat B,North Point Mid-Levels,"S.A. 1,035 ft²","
                2022-02-01
              ","$  41,000"
4536,Ming Fai Building・Block A・Middle Floor・Flat 2,North Point,S.A. 210 ft²,"
                2022-02-01
              ","$  9,000"
4537,City One Shatin・Site 4・Block 37・Lower Floor・Flat E,City One Shatin,S.A. 284 ft²,"
                2022-02-01
              ","$  12,800"
