,address,district,S.A ft,deal date,deal price
63,Lohas Park・Phase 8 Sea To Sky・Tower 2・Middle Floor・Flat E,Lohas Park,S.A. 470 ft²,"
                2022-04-25
              ","$  15,800"
64,Eltanin‧Square Mile・Tower 1・Lower Floor・Flat L,Tai Kok Tsui,S.A. 194 ft²,"
                2022-04-25
              ","$  10,380"
65,Lohas Park・Phase 8 Sea To Sky・Tower 2・Lower Floor・Flat J,Lohas Park,S.A. 802 ft²,"
                2022-04-25
              ","$  24,000"
66,Upper Riverbank・Tower 1・Middle Floor・Flat D,Kai Tak New Area,S.A. 657 ft²,"
                2022-04-25
              ","$  24,800"
67,Upper Riverbank・Tower 2・Lower Floor・Flat L,Kai Tak New Area,S.A. 585 ft²,"
                2022-04-25
              ","$  20,000"
68,Heng Fa Chuen・Block 8・Middle Floor・Flat 4,Heng Fa Chuen,S.A. 475 ft²,"
                2022-04-25
              ","$  15,500"
69,Harmony Place・Lower Floor・Flat B,Shau Kei Wan,S.A. 501 ft²,"
                2022-04-25
              ","$  20,300"
70,Island Resort・Tower 1・Upper Floor・Flat E,Siu Sai Wan,S.A. 451 ft²,"
                2022-04-25
              ","$  17,000"
71,The Altitude・Lower Floor・Flat C,Happy Valley,"S.A. 1,451 ft²","
                2022-04-25
              ","$  71,000"
72,Taikoo Shing・On Shing Terrace・(T-30) Hing On Mansion・Upper Floor・Flat D,Taikoo Shing,S.A. 583 ft²,"
                2022-04-25
              ","$  21,000"
73,Lohas Park・Phase 3A Hemera・Emerald (Tower 2)・Lower Floor・Flat Lb,Lohas Park,S.A. 930 ft²,"
                2022-04-25
              ","$  24,000"
74,La Cite Noble・Block 5・Upper Floor・Flat G,Hang Hau,S.A. 377 ft²,"
                2022-04-25
              ","$  15,500"
75,East Point City・Block 7・Middle Floor・Flat G,Hang Hau,S.A. 463 ft²,"
                2022-04-25
              ","$  15,000"
76,Dominion Court・Middle Floor・Flat C,Ho Man Tin,S.A. 996 ft²,"
                2022-04-25
              ","$  32,000"
77,Harbour Green・Tower 5・Lower Floor・Flat H,Olympic Station,S.A. 482 ft²,"
                2022-04-25
              ","$  17,500"
78,K‧Summit・Tower 1B・Middle Floor・Flat G,Kai Tak New Area,S.A. 460 ft²,"
                2022-04-25
              ","$  16,500"
79,Lohas Park・Phase 7A Montara・Tower 2 (2A)・Upper Floor・Flat D,Lohas Park,S.A. 362 ft²,"
                2022-04-25
              ","$  13,000"
80,The Mediterranean・Tower 1・Middle Floor・Flat C,Tai Mong Tsai,S.A. 880 ft²,"
                2022-04-25
              ","$  30,000"
81,Oasis Kai Tak・Tower 3・Upper Floor・Flat D,Kai Tak New Area,S.A. 494 ft²,"
                2022-04-25
              ","$  18,000"
82,K‧Summit・Tower 2A・Lower Floor・Flat A,Kai Tak New Area,S.A. 459 ft²,"
                2022-04-25
              ","$  17,000"
83,Upper Riverbank・Tower 2・Lower Floor・Flat E,Kai Tak New Area,S.A. 585 ft²,"
                2022-04-25
              ","$  20,000"
84,The Long Beach・Tower 6・Upper Floor・Flat C,Olympic Station,S.A. 547 ft²,"
                2022-04-25
              ","$  22,000"
85,La Cite Noble・Block 1・Middle Floor・Flat D,Hang Hau,S.A. 434 ft²,"
                2022-04-25
              ","$  13,800"
86,Greenfields・Block 1・Upper Floor・Flat E,Yuen Long Town Centre,S.A. 491 ft²,"
                2022-04-25
              ","$  14,000"
87,Fairview Park・Bauhinia Road South,Palm Springs | Fairview,S.A. 902 ft²,"
                2022-04-25
              ","$  23,500"
88,Yoho Town・Phase 2 Yoho Midtown・Block M7・Lower Floor・Flat D,Yuen Long Station,S.A. 901 ft²,"
                2022-04-25
              ","$  24,500"
89,Metro Harbour View・Phase 1・Tower 4・Lower Floor・Flat B,Tai Kok Tsui,S.A. 379 ft²,"
                2022-04-25
              ","$  14,700"
90,Emerald Green・Block 5・Middle Floor・Flat B,Yuen Long Town Centre,S.A. 822 ft²,"
                2022-04-25
              ","$  17,000"
91,Island Residence・Lower Floor・Flat C,Sai Wan Ho,S.A. 499 ft²,"
                2022-04-25
              ","$  21,500"
92,Taikoo Shing・Kao Shan Terrace・(T-09) Lu Shan Mansion・Lower Floor・Flat A,Taikoo Shing,S.A. 518 ft²,"
                2022-04-25
              ","$  18,000"
93,The Beaumount・Phase 1・Tower 6・Upper Floor・Flat G,Lohas Park,S.A. 499 ft²,"
                2022-04-25
              ","$  13,800"
94,The Beaumount・Phase 1・Tower 7・Upper Floor・Flat D,Lohas Park,S.A. 530 ft²,"
                2022-04-25
              ","$  13,500"
95,Regent Hill・Lower Floor・Flat A,Happy Valley,S.A. 534 ft²,"
                2022-04-25
              ","$  25,000"
96,Harbour Green・Tower 1・Middle Floor・Flat C,Olympic Station,S.A. 516 ft²,"
                2022-04-25
              ","$  19,000"
97,Solaria・Tower 8・Upper Floor・Flat E,Pak Shek Kok | Tai Po Mid-levels,S.A. 595 ft²,"
                2022-04-25
              ","$  19,000"
98,No. 60 Victoria Road・Upper Floor・Flat B,Kennedy Town,S.A. 466 ft²,"
                2022-04-25
              ","$  21,200"
99,Imperial Villas・Phase 2・Tower 8・Flat G,Ping Shan,S.A. 367 ft²,"
                2022-04-25
              ","$  9,800"
100,Taikoo Shing・Horizon Gardens・(T-59) Heng Tien Mansion・Middle Floor・Flat F,Taikoo Shing,S.A. 567 ft²,"
                2022-04-25
              ","$  23,000"
101,K‧Summit・Tower 1B・Lower Floor・Flat A,Kai Tak New Area,S.A. 293 ft²,"
                2022-04-25
              ","$  13,800"
102,Park View Garden・Block 1・Lower Floor・Flat C,Tai Wai,S.A. 420 ft²,"
                2022-04-25
              ","$  14,500"
103,Wealthy Garden・Cheong Kwai Court・Upper Floor・Flat C,Tsuen Wan Town Centre,S.A. 431 ft²,"
                2022-04-25
              ","$  14,000"
104,Tsuen Wan Plaza・Block 2・Lower Floor・Flat D,Tsuen Wan Town Centre,S.A. 433 ft²,"
                2022-04-25
              ","$  15,000"
105,Tsuen Tak Gardens・Block E・Middle Floor・Flat E,Tsuen King Circuit,S.A. 287 ft²,"
                2022-04-25
              ","$  10,700"
106,City One Shatin・Site 1・Block 10・Lower Floor・Flat D,City One Shatin,S.A. 327 ft²,"
                2022-04-25
              ","$  12,100"
107,Classical Gardens・Phase 3 Dynasty View・Block 23・Lower Floor・Flat B,Tai Po Market,S.A. 513 ft²,"
                2022-04-25
              ","$  14,500"
108,Summit Terrace・Block 3・Upper Floor・Flat H,Tsuen King Circuit,S.A. 481 ft²,"
                2022-04-25
              ","$  16,100"
