,Floor,SA (ft2),Price(HK$),Price/ft2(SA),Date,District
154,H,718,23000,32.03,2022-03-06,Lam Tin
155,L,748,20000,26.74,2022-03-06,Yau Tong
156,L,522,17000,32.57,2022-03-03,Yau Tong
157,H,441,16000,36.28,2022-03-03,Tseung Kwan O
158,L,356,13500,37.92,2022-03-03,Tseung Kwan O
159,H,537,15500,28.86,2022-03-02,Lam Tin
160,H,490,13500,27.55,2022-03-02,Aberdeen
161,L,560,17000,30.36,2022-03-02,Aberdeen
162,M,517,15500,29.98,2022-03-01,Yau Tong
163,H,517,16000,30.95,2022-03-01,Yau Tong
164,H,400,11000,27.5,2022-03-01,Aberdeen
165,H,748,20000,26.74,2022-02-28,Yau Tong
166,L,522,15200,29.12,2022-02-28,Yau Tong
167,L,517,15200,29.4,2022-02-28,Yau Tong
168,M,517,15800,30.56,2022-02-28,Yau Tong
169,H,517,16500,31.91,2022-02-28,Yau Tong
170,H,517,15500,29.98,2022-02-28,Yau Tong
171,M,517,16000,30.95,2022-02-28,Yau Tong
172,M,517,15000,29.01,2022-02-28,Yau Tong
173,H,517,13000,25.15,2022-02-28,Yau Tong
174,L,687,15000,21.83,2022-02-27,Yau Tong
175,L,293,11000,37.54,2022-02-27,Aberdeen
177,H,429,17000,39.63,2022-02-25,Tseung Kwan O
178,H,453,16500,36.42,2022-02-25,Tseung Kwan O
179,L,456,16000,35.09,2022-02-25,Tseung Kwan O
180,H,336,12500,37.2,2022-02-25,Aberdeen
181,H,336,12500,37.2,2022-02-25,Aberdeen
182,H,495,11500,23.23,2022-02-24,Tseung Kwan O
184,M,363,14000,38.57,2022-02-22,Tseung Kwan O
185,H,816,25500,31.25,2022-02-22,Tseung Kwan O
186,L,517,14000,27.08,2022-02-21,Yau Tong
187,M,517,14000,27.08,2022-02-21,Yau Tong
188,H,503,13000,25.84,2022-02-20,Tseung Kwan O
189,H,443,12500,28.22,2022-02-20,Tseung Kwan O
190,L,517,15000,29.01,2022-02-20,Yau Tong
191,H,591,16000,27.07,2022-02-19,Tseung Kwan O
192,M,497,13000,26.16,2022-02-19,Tseung Kwan O
193,L,517,15000,29.01,2022-02-19,Yau Tong
194,H,421,14500,34.44,2022-02-19,Aberdeen
195,L,349,11500,32.95,2022-02-18,Tseung Kwan O
196,H,561,18300,32.62,2022-02-18,Tseung Kwan O
197,M,372,13000,34.95,2022-02-18,Tseung Kwan O
198,L,213,9200,43.19,2022-02-18,Tseung Kwan O
199,L,530,21000,39.62,2022-02-18,Tseung Kwan O
200,L,543,20000,36.83,2022-02-18,Tseung Kwan O
201,M,406,16000,39.41,2022-02-18,Tseung Kwan O
202,L,431,13500,31.32,2022-02-18,Tseung Kwan O
203,H,452,14500,32.08,2022-02-18,Tseung Kwan O
204,H,591,16000,27.07,2022-02-18,Tseung Kwan O
205,L,313,12500,39.94,2022-02-17,Aberdeen
206,H,517,15300,29.59,2022-02-16,Yau Tong
207,H,605,21000,34.71,2022-02-16,Aberdeen
208,L,517,14600,28.24,2022-02-15,Yau Tong
209,M,517,15500,29.98,2022-02-15,Yau Tong
210,H,517,15000,29.01,2022-02-15,Yau Tong
211,H,517,16000,30.95,2022-02-15,Yau Tong
212,L,495,11500,23.23,2022-02-15,Tseung Kwan O
213,L,748,20000,26.74,2022-02-14,Yau Tong
214,L,517,13500,26.11,2022-02-14,Yau Tong
215,H,517,15300,29.59,2022-02-13,Yau Tong
216,H,517,15000,29.01,2022-02-13,Yau Tong
217,M,748,20000,26.74,2022-02-13,Yau Tong
218,M,381,10000,26.25,2022-02-13,Tseung Kwan O
219,H,438,14000,31.96,2022-02-13,Aberdeen
220,H,384,13000,33.85,2022-02-13,Aberdeen
221,M,255,12800,50.2,2022-02-13,Aberdeen
222,L,517,13600,26.31,2022-02-12,Yau Tong
223,M,255,12800,50.2,2022-02-12,Aberdeen
224,H,325,11000,33.85,2022-02-11,Aberdeen
226,H,451,15000,33.26,2022-02-09,Aberdeen
227,L,517,14800,28.63,2022-02-08,Yau Tong
229,H,451,14000,31.04,2022-02-07,Aberdeen
230,L,554,11000,19.86,2022-02-07,Tseung Kwan O
231,H,364,14000,38.46,2022-02-06,Tseung Kwan O
232,H,530,16000,30.19,2022-02-06,Tseung Kwan O
233,L,517,14900,28.82,2022-02-05,Yau Tong
234,M,748,19000,25.4,2022-02-05,Yau Tong
235,H,307,16500,53.75,2022-02-05,Tseung Kwan O
236,L,364,13500,37.09,2022-02-05,Tseung Kwan O
237,L,541,18500,34.2,2022-02-05,Tseung Kwan O
238,H,470,16000,34.04,2022-02-05,Tseung Kwan O
239,M,363,14900,41.05,2022-02-04,Tseung Kwan O
240,M,748,21000,28.07,2022-01-31,Yau Tong
241,L,687,18500,26.93,2022-01-31,Yau Tong
242,L,687,19500,28.38,2022-01-31,Yau Tong
243,M,687,19600,28.53,2022-01-31,Yau Tong
244,M,517,15000,29.01,2022-01-31,Yau Tong
245,M,517,16200,31.33,2022-01-31,Yau Tong
246,M,517,17000,32.88,2022-01-31,Yau Tong
247,H,522,16500,31.61,2022-01-31,Yau Tong
248,M,522,17000,32.57,2022-01-31,Yau Tong
249,L,517,14000,27.08,2022-01-31,Yau Tong
250,H,517,14500,28.05,2022-01-31,Yau Tong
251,L,517,14000,27.08,2022-01-31,Yau Tong
252,L,656,16000,24.39,2022-01-30,Tseung Kwan O
253,H,284,12000,42.25,2022-01-30,Aberdeen
254,H,775,23500,30.32,2022-01-29,Tseung Kwan O
255,H,307,14000,45.6,2022-01-29,Tseung Kwan O
256,H,503,14500,28.83,2022-01-29,Tseung Kwan O
257,L,517,16000,30.95,2022-01-28,Yau Tong
258,H,432,15800,36.57,2022-01-27,Aberdeen
259,M,517,14000,27.08,2022-01-26,Yau Tong
260,L,672,21000,31.25,2022-01-26,Tseung Kwan O
261,M,711,22300,31.36,2022-01-26,Tseung Kwan O
262,H,371,12500,33.69,2022-01-26,Aberdeen
263,H,363,14000,38.57,2022-01-26,Tseung Kwan O
264,H,753,23500,31.21,2022-01-26,Tseung Kwan O
265,L,302,9000,29.8,2022-01-25,Wong Chuk Hang
266,L,517,12500,24.18,2022-01-24,Yau Tong
267,M,537,17000,31.66,2022-01-23,Lam Tin
268,M,748,22000,29.41,2022-01-23,Yau Tong
269,H,517,17000,32.88,2022-01-23,Tseung Kwan O
