District,SA (ft2),Price(HK$),Date,Floor,Price/ft2(SA),Estate,District1
Tung Chung Town Centre,484,15500,2022-04-25 00:00:00,H,32.02,Century Link,ISLANDS
Fo Tan,1535,75000,2022-04-25 00:00:00,H,48.86,The Palazzo,SHA TIN
Tung Chung Town Centre,550,14000,2022-04-25 00:00:00,H,25.45,Caribbean Coast,ISLANDS
Tuen Mun San Hui,466,10800,2022-04-25 00:00:00,L,23.18,Kam Hing Building,CENTRAL & WESTERN
Mid-Levels West,419,14000,2022-04-25 00:00:00,H,33.41,45 Seymour Road,CENTRAL & WESTERN
City One Shatin,304,11500,2022-04-25 00:00:00,L,37.83,City One Shatin,SHA TIN
Residence Bel-air,649,29000,2022-04-25 00:00:00,L,44.68,Air,SOUTHERN
Kai Tak New Area,512,19000,2022-04-25 00:00:00,L,37.11,Summit,YAU TSIM MONG
Jordan,586,18800,2022-04-25 00:00:00,M,32.08,Hong Yuen Court,YAU TSIM MONG
Tung Chung Town Centre,568,17200,2022-04-25 00:00:00,L,30.28,Coastal Skyline,ISLANDS
Kowloon Bay,391,13000,2022-04-25 00:00:00,L,33.25,Amoy Gardens,KWUN TONG
Tseung Kwan O,465,16000,2022-04-25 00:00:00,L,34.41,Park Central,SAI KUNG
Tung Chung Town Centre,801,18800,2022-04-25 00:00:00,L,23.47,Coastal Skyline,ISLANDS
Tseung Kwan O,384,14500,2022-04-25 00:00:00,H,37.76,Park Central,SAI KUNG
Po Lam,363,15500,2022-04-25 00:00:00,H,42.7,The Metro City,SAI KUNG
Lohas Park,470,15800,2022-04-25 00:00:00,M,33.62,Lohas Park,SAI KUNG
Tai Kok Tsui,194,10380,2022-04-25 00:00:00,L,53.51,Square Mile,YAU TSIM MONG
Lohas Park,802,24000,2022-04-25 00:00:00,L,29.93,Lohas Park,SAI KUNG
Kai Tak New Area,657,24800,2022-04-25 00:00:00,M,37.75,Upper Riverbank,CENTRAL & WESTERN
Kai Tak New Area,585,20000,2022-04-25 00:00:00,L,34.19,Upper Riverbank,CENTRAL & WESTERN
Heng Fa Chuen,475,15500,2022-04-25 00:00:00,M,32.63,Heng Fa Chuen,EASTERN
Shau Kei Wan,501,20300,2022-04-25 00:00:00,L,40.52,Harmony Place,EASTERN
Siu Sai Wan,451,17000,2022-04-25 00:00:00,H,37.69,Island Resort,EASTERN
Happy Valley,1451,71000,2022-04-25 00:00:00,L,48.93,The Altitude,WAN CHAI
Taikoo Shing,583,21000,2022-04-25 00:00:00,H,36.02,Taikoo Shing,EASTERN
Tiu Keng Leng,504,17000,2022-04-25 00:00:00,H,33.73,Ocean Shores,SAI KUNG
Lohas Park,930,24000,2022-04-25 00:00:00,L,25.81,Lohas Park,SAI KUNG
Hang Hau,377,15500,2022-04-25 00:00:00,H,41.11,La Cite Noble,SAI KUNG
Hang Hau,463,15000,2022-04-25 00:00:00,M,32.4,East Point City,SAI KUNG
Ho Man Tin,996,32000,2022-04-25 00:00:00,M,32.13,Dominion Court,KOWLOON CITY
Olympic Station,482,17500,2022-04-25 00:00:00,L,36.31,Harbour Green,YAU TSIM MONG
Kai Tak New Area,460,16500,2022-04-25 00:00:00,M,35.87,Summit,YAU TSIM MONG
Lohas Park,362,13000,2022-04-25 00:00:00,H,35.91,Lohas Park,SAI KUNG
Tai Mong Tsai,880,30000,2022-04-25 00:00:00,M,34.09,The Mediterranean,SAI KUNG
Kai Tak New Area,494,18000,2022-04-25 00:00:00,H,36.44,Oasis Kai Tak,KOWLOON CITY
Kai Tak New Area,459,17000,2022-04-25 00:00:00,L,37.04,Summit,YAU TSIM MONG
Kai Tak New Area,585,20000,2022-04-25 00:00:00,L,34.19,Upper Riverbank,CENTRAL & WESTERN
Ma Wan,523,14000,2022-04-25 00:00:00,L,26.77,Park Island,TSUEN WAN
Olympic Station,547,22000,2022-04-25 00:00:00,H,40.22,The Long Beach,YAU TSIM MONG
Hang Hau,434,13800,2022-04-25 00:00:00,M,31.8,La Cite Noble,SAI KUNG
Tung Chung Town Centre,671,17500,2022-04-25 00:00:00,H,26.08,The Visionary,ISLANDS
Yuen Long Town Centre,491,14000,2022-04-25 00:00:00,H,28.51,Greenfields,YUEN LONG
Palm Springs | Fairview,902,23500,2022-04-25 00:00:00,Others,26.05,Fairview Park,YUEN LONG
Yuen Long Station,901,24500,2022-04-25 00:00:00,L,27.19,Yoho Town,YUEN LONG
Tai Kok Tsui,379,14700,2022-04-25 00:00:00,L,38.79,Metro Harbour View,YAU TSIM MONG
Yuen Long Town Centre,822,17000,2022-04-25 00:00:00,M,20.68,Emerald Green,YUEN LONG
Sai Wan Ho,499,21500,2022-04-25 00:00:00,L,43.09,Island Residence,EASTERN
