District,SA (ft2),Price(HK$),Date,Floor,Price/ft2(SA),Estate,District1
Mei Foo,576,22000,2022-01-04 00:00:00,L,38.19,Manhattan Hill,SHAM SHUI PO
Olympic Station,456,16000,2022-01-04 00:00:00,L,35.09,Hampton Place,YAU TSIM MONG
Sai Ying Pun,397,12800,2022-01-04 00:00:00,L,32.24,Kwan Yick Building,CENTRAL & WESTERN
Tung Chung Town Centre,510,15300,2022-01-04 00:00:00,L,30.0,Caribbean Coast,ISLANDS
Yuen Long Station,509,13000,2022-01-04 00:00:00,L,25.54,The Parcville,YUEN LONG
Tai Wai,389,14300,2022-01-04 00:00:00,L,36.76,Acappella,SHA TIN
Fanling,431,12700,2022-01-04 00:00:00,H,29.47,Dawning Views,NORTH
Yuen Long Southeast,356,11500,2022-01-03 00:00:00,H,32.3,The Reach,YUEN LONG
Mid-Levels West,922,36800,2022-01-03 00:00:00,L,39.91,Scenecliff,CENTRAL & WESTERN
Tung Chung Town Centre,563,13500,2022-01-03 00:00:00,L,23.98,Caribbean Coast,ISLANDS
Sham Tseng,576,15000,2022-01-03 00:00:00,H,26.04,Bellagio,TSUEN WAN
North Point Mid-Levels,723,25000,2022-01-03 00:00:00,H,34.58,Beverley Heights,EASTERN
Shau Kei Wan,862,33500,2022-01-03 00:00:00,H,38.86,Island Garden,EASTERN
North Point,464,15000,2022-01-03 00:00:00,M,32.33,Kin Ming Court,EASTERN
Tiu Keng Leng,503,17800,2022-01-03 00:00:00,H,35.39,Ocean Shores,SAI KUNG
Hang Hau,377,15000,2022-01-03 00:00:00,L,39.79,La Cite Noble,SAI KUNG
Yau Yat Tsuen,657,32500,2022-01-03 00:00:00,L,49.47,Parc Oasis,SHAM SHUI PO
Tseung Kwan O,288,13500,2022-01-03 00:00:00,H,46.88,Monterey,SAI KUNG
Tseung Kwan O,508,20500,2022-01-03 00:00:00,H,40.35,The Parkside,SAI KUNG
Tai Kok Tsui,198,11000,2022-01-03 00:00:00,M,55.56,Square Mile,YAU TSIM MONG
Tai Wai,825,33000,2022-01-03 00:00:00,M,40.0,The Riverpark,SHA TIN
Ma On Shan,512,18800,2022-01-03 00:00:00,H,36.72,Double Cove,SHA TIN
Tsing Yi,518,16600,2022-01-03 00:00:00,L,32.05,Tierra Verde,KWAI TSING
Yuen Long Station,637,19800,2022-01-03 00:00:00,H,31.08,Yoho Town,YUEN LONG
Wan Chai,461,24500,2022-01-03 00:00:00,M,53.15,One Wanchai,WAN CHAI
Po Lam,363,14800,2022-01-03 00:00:00,M,40.77,The Metro City,SAI KUNG
Repulse Bay,2043,90000,2022-01-03 00:00:00,Others,44.05,Burnside Estate,ISLANDS
Palm Springs | Fairview,848,27000,2022-01-03 00:00:00,Others,31.84,Fairview Park,YUEN LONG
Sai Ying Pun,554,34000,2022-01-03 00:00:00,H,61.37,Island Crest,CENTRAL & WESTERN
Tseung Kwan O,297,14300,2022-01-03 00:00:00,M,48.15,The Papillons,SAI KUNG
Tsing Yi,499,16800,2022-01-03 00:00:00,L,33.67,Villa Esplanada,KWAI TSING
Wan Chai,372,22000,2022-01-03 00:00:00,M,59.14,The Gloucester,WAN CHAI
Tsing Yi,264,9300,2022-01-03 00:00:00,M,35.23,Cheung On Estate,KWAI TSING
Kwun Tong,598,21500,2022-01-02 00:00:00,M,35.95,Grand Central,KWUN TONG
Kai Tak New Area,844,30500,2022-01-02 00:00:00,M,36.14,One Kai Tak,KOWLOON CITY
Tsuen Wan West,280,17000,2022-01-02 00:00:00,H,60.71,The Aurora,TSUEN WAN
Tsuen Wan West,308,13800,2022-01-02 00:00:00,H,44.81,H Cube,TSUEN WAN
Sheung Wan,612,30000,2022-01-01 00:00:00,H,49.02,s Terrace,EASTERN
Tin Wan,265,13700,2022-01-01 00:00:00,H,51.7,Aura,SOUTHERN
Aberdeen,432,15500,2022-01-01 00:00:00,M,35.88,Aberdeen Centre,SOUTHERN
Aberdeen,384,14600,2022-01-01 00:00:00,M,38.02,Yue Fai Court,SOUTHERN
South Horizons,729,26000,2022-01-01 00:00:00,H,35.67,South Horizons,SOUTHERN
Sai Ying Pun,196,13000,2022-01-01 00:00:00,M,66.33,Artlane,CENTRAL & WESTERN
Pok Fu Lam,439,13500,2022-01-01 00:00:00,H,30.75,Chi Fu Fa Yuen,SOUTHERN
Wan Chai,339,20000,2022-01-01 00:00:00,H,59.0,The Avenue,WAN CHAI
Wan Chai,431,19200,2022-01-01 00:00:00,L,44.55,The Morrison,WAN CHAI
Sheung Wan,473,22800,2022-01-01 00:00:00,L,48.2,Centre Point,WAN CHAI
Ma On Shan,696,19800,2022-01-01 00:00:00,M,28.45,The Waterside,SHA TIN
Tung Chung Town Centre,480,14000,2022-01-01 00:00:00,M,29.17,Century Link,ISLANDS
Sha Tin,283,13500,2022-01-01 00:00:00,M,47.7,Hilton Plaza,SHA TIN
Tai Po Market,537,16500,2022-01-01 00:00:00,H,30.73,Classical Gardens,TAI PO
Tai Wai,252,13000,2022-01-01 00:00:00,H,51.59,Acappella,SHA TIN
Fo Tan,556,20300,2022-01-01 00:00:00,H,36.51,The Palazzo,SHA TIN
Mid-Levels West,344,13800,2022-01-01 00:00:00,H,40.12,Floral Tower,CENTRAL & WESTERN
Ma On Shan,511,17800,2022-01-01 00:00:00,M,34.83,Double Cove,SHA TIN
Fanling,376,11800,2022-01-01 00:00:00,H,31.38,Fanling Town Center,NORTH
Fanling,376,11500,2022-01-01 00:00:00,L,30.59,Fanling Town Center,NORTH
Sheung Shui,349,8500,2022-01-01 00:00:00,L,24.36,Tin Ping Estate,NORTH
Mid-Levels West,1111,51000,2022-01-01 00:00:00,M,45.9,The Belchers,CENTRAL & WESTERN
Ho Man Tin,1567,53000,2022-01-01 00:00:00,M,33.82,Celestial Heights,KOWLOON CITY
City One Shatin,327,12700,2022-01-01 00:00:00,H,38.84,City One Shatin,SHA TIN
City One Shatin,284,11800,2022-01-01 00:00:00,M,41.55,City One Shatin,SHA TIN
Siu Lek Yuen,417,16000,2022-01-01 00:00:00,M,38.37,Prima Villa,SHA TIN
Tiu Keng Leng,499,17000,2022-01-01 00:00:00,M,34.07,Ocean Shores,SAI KUNG
Yuen Long Station,617,16500,2022-01-01 00:00:00,H,26.74,The Parcville,YUEN LONG
Residence Bel-air,1086,56500,2022-01-01 00:00:00,H,52.03,Air,SOUTHERN
Tai Po Market,489,17000,2022-01-01 00:00:00,L,34.76,Uptown Plaza,TAI PO
Tsing Lung Tau,365,11500,2022-01-01 00:00:00,M,31.51,Hong Kong Garden,CENTRAL & WESTERN
Fo Tan,594,20000,2022-01-01 00:00:00,L,33.67,Royal Ascot,SHA TIN
Fo Tan,1204,34500,2022-01-01 00:00:00,M,28.65,Cloudview Mansion,SHA TIN
Fo Tan,594,18500,2022-01-01 00:00:00,H,31.14,Royal Ascot,SHA TIN
Lam Tin,614,19500,2022-01-01 00:00:00,M,31.76,Sceneway Garden,KWUN TONG
Lai King,582,16000,2022-01-01 00:00:00,M,27.49,Highland Park,KWAI TSING
Tuen Mun Ferry Pier,431,10000,2022-01-01 00:00:00,L,23.2,Yuet Wu Villa,TUEN MUN
Siu Hong,414,10800,2022-01-01 00:00:00,M,26.09,Siu Hong Court,TUEN MUN
Tuen Mun Ferry Pier,469,12000,2022-01-01 00:00:00,L,25.59,Miami Beach Towers,TUEN MUN
Tuen Mun Town Centre,723,22000,2022-01-01 00:00:00,L,30.43,Century Gateway,TUEN MUN
Tsuen Wan West,773,29000,2022-01-01 00:00:00,L,37.52,Ocean Pride,TSUEN WAN
Tsuen Wan West,512,21000,2022-01-01 00:00:00,M,41.02,Ocean Pride,TSUEN WAN
Tsuen Wan West,532,20800,2022-01-01 00:00:00,H,39.1,Ocean Pride,TSUEN WAN
Tsuen Wan West,538,18800,2022-01-01 00:00:00,H,34.94,Indi Home,SAI KUNG
Tung Chung Town Centre,484,14500,2022-01-01 00:00:00,H,29.96,Century Link,ISLANDS
Sham Shui Po,723,27000,2022-01-01 00:00:00,M,37.34,Seaside Sonata,YAU TSIM MONG
Four Little Dragons,507,17800,2022-01-01 00:00:00,M,35.11,The Pacifica,SHAM SHUI PO
Nam Cheong Station,350,17500,2022-01-01 00:00:00,L,50.0,Cullinan West,SHAM SHUI PO
Tuen Mun South,299,12600,2022-01-01 00:00:00,H,42.14,Regency Bay,TUEN MUN
Tuen Mun Town Centre,404,11000,2022-01-01 00:00:00,H,27.23,Waldorf Garden,TUEN MUN
Chi Lok,266,8000,2022-01-01 00:00:00,H,30.08,Lee Bo Building,TUEN MUN
Mid-Levels West,434,25000,2022-01-01 00:00:00,L,57.6,Castle One By V,CENTRAL & WESTERN
Sai Ying Pun,311,14000,2022-01-01 00:00:00,L,45.02,Ko Nga Court,CENTRAL & WESTERN
Sai Ying Pun,462,27500,2022-01-01 00:00:00,M,59.52,Island Crest,CENTRAL & WESTERN
Mid-Levels West,465,22000,2022-01-01 00:00:00,L,47.31,Hoi Ming Court,YAU TSIM MONG
Wan Chai,421,19000,2022-01-01 00:00:00,H,45.13,Kelly House,WAN CHAI
Wan Chai,535,32000,2022-01-01 00:00:00,H,59.81,The Avenue,WAN CHAI
City One Shatin,304,11300,2022-01-01 00:00:00,L,37.17,City One Shatin,SHA TIN
City One Shatin,284,12800,2022-01-01 00:00:00,H,45.07,City One Shatin,SHA TIN
Tai Wai,688,25000,2022-01-01 00:00:00,H,36.34,Festival City,SHA TIN
Taikoo Shing,581,21000,2022-01-01 00:00:00,H,36.14,Taikoo Shing,EASTERN
Taikoo Shing,567,23800,2022-01-01 00:00:00,M,41.98,Taikoo Shing,EASTERN
Tai Wai,739,27300,2022-01-01 00:00:00,L,36.94,Festival City,SHA TIN
Sha Tin,652,22000,2022-01-01 00:00:00,H,33.74,New Town Plaza,SHA TIN
Tai Wai,258,11800,2022-01-01 00:00:00,L,45.74,The Garrison,SHA TIN
Discovery Bay,693,14000,2022-01-01 00:00:00,L,20.2,Discovery Bay,ISLANDS
Discovery Bay,442,14000,2022-01-01 00:00:00,M,31.67,Discovery Bay,ISLANDS
Discovery Bay,2403,74000,2022-01-01 00:00:00,Others,30.79,Discovery Bay,ISLANDS
Discovery Bay,610,15800,2022-01-01 00:00:00,H,25.9,Discovery Bay,ISLANDS
Discovery Bay,2403,86000,2022-01-01 00:00:00,Others,35.79,Discovery Bay,ISLANDS
To Kwa Wan,384,15300,2022-01-01 00:00:00,M,39.84,Grand Waterfront,KOWLOON CITY
Hung Hom,255,17000,2022-01-01 00:00:00,H,66.67,The Vantage,CENTRAL & WESTERN
To Kwa Wan,378,15300,2022-01-01 00:00:00,M,40.48,Grand Waterfront,KOWLOON CITY
To Kwa Wan,382,15500,2022-01-01 00:00:00,H,40.58,Grand Waterfront,KOWLOON CITY
Sheung Shui,483,13500,2022-01-01 00:00:00,L,27.95,Sunningdale Garden,NORTH
Sheung Shui,281,9500,2022-01-01 00:00:00,L,33.81,Eden Manor,NORTH
Sheung Shui,442,15000,2022-01-01 00:00:00,M,33.94,Noble Hill,NORTH
Tseung Kwan O,408,17000,2022-01-01 00:00:00,L,41.67,Alto Residences,SAI KUNG
Tsuen Wan West,465,19500,2022-01-01 00:00:00,M,41.94,The Aurora,TSUEN WAN
Tsuen Wan West,538,17500,2022-01-01 00:00:00,H,32.53,Indi Home,SAI KUNG
Yau Yat Tsuen,1537,50000,2022-01-01 00:00:00,M,32.53,Village Gardens,WAN CHAI
Ma On Shan,293,13900,2022-01-01 00:00:00,H,47.44,Blossom,EASTERN
Tsuen King Circuit,422,10500,2022-01-01 00:00:00,L,24.88,Tsuen Wan Centre,TSUEN WAN
Kowloon City,479,18000,2022-01-01 00:00:00,M,37.58,The Prince Place,KOWLOON CITY
To Kwa Wan,448,17800,2022-01-01 00:00:00,L,39.73,Grandview Garden,CENTRAL & WESTERN
Mid-Levels West,361,15000,2022-01-01 00:00:00,M,41.55,Good View Court,CENTRAL & WESTERN
Mid-Levels West,551,21000,2022-01-01 00:00:00,H,38.11,All Fit Garden,CENTRAL & WESTERN
So Kwun Wat,685,15500,2022-01-01 00:00:00,M,22.63,Hong Kong Gold Coast,TUEN MUN
Kwun Tong,569,21000,2022-01-01 00:00:00,H,36.91,Grand Central,KWUN TONG
Kwun Tong,676,23000,2022-01-01 00:00:00,L,34.02,Grand Central,KWUN TONG
Kwun Tong,607,22500,2022-01-01 00:00:00,H,37.07,Grand Central,KWUN TONG
Kwun Tong,460,20500,2022-01-01 00:00:00,H,44.57,Grand Central,KWUN TONG
Kwun Tong,592,24000,2022-01-01 00:00:00,H,40.54,Grand Central,KWUN TONG
Kwun Tong,962,34000,2022-01-01 00:00:00,H,35.34,Grand Central,KWUN TONG
Kwun Tong,832,27000,2022-01-01 00:00:00,M,32.45,Grand Central,KWUN TONG
Kwun Tong,460,18500,2022-01-01 00:00:00,M,40.22,Grand Central,KWUN TONG
Lam Tin,517,15500,2022-01-01 00:00:00,M,29.98,Laguna City,KWUN TONG
Kwun Tong,830,30000,2022-01-01 00:00:00,M,36.14,Grand Central,KWUN TONG
Kwun Tong,452,19000,2022-01-01 00:00:00,H,42.04,Grand Central,KWUN TONG
Kwun Tong,758,24500,2022-01-01 00:00:00,L,32.32,Grand Central,KWUN TONG
Lohas Park,790,25800,2022-01-01 00:00:00,M,32.66,Lohas Park,SAI KUNG
Tseung Kwan O,400,16800,2022-01-01 00:00:00,H,42.0,Alto Residences,SAI KUNG
Tseung Kwan O,684,22800,2022-01-01 00:00:00,M,33.33,Park Central,SAI KUNG
Tung Chung Town Centre,546,13500,2022-01-01 00:00:00,M,24.73,Caribbean Coast,ISLANDS
Tung Chung Town Centre,643,18000,2022-01-01 00:00:00,M,27.99,Century Link,ISLANDS
Tin Shui Wai,494,12500,2022-01-01 00:00:00,L,25.3,Central Park Towers,YUEN LONG
Tseung Kwan O,580,23500,2022-01-01 00:00:00,M,40.52,Corinthia By The Sea,SAI KUNG
Tiu Keng Leng,682,23800,2022-01-01 00:00:00,H,34.9,Ocean Shores,SAI KUNG
Hang Hau,377,15200,2022-01-01 00:00:00,H,40.32,La Cite Noble,SAI KUNG
Lohas Park,450,16500,2022-01-01 00:00:00,H,36.67,Lohas Park,SAI KUNG
Mid-Levels West,736,42000,2022-01-01 00:00:00,L,57.07,Alassio,CENTRAL & WESTERN
Sheung Wan,270,10500,2022-01-01 00:00:00,M,38.89,Wah Koon Building,CENTRAL & WESTERN
Sheung Wan,367,17000,2022-01-01 00:00:00,M,46.32,Dawning Height,CENTRAL & WESTERN
Tsuen Wan West,839,28800,2022-01-01 00:00:00,L,34.33,Parc City,TSUEN WAN
Tsuen Wan West,530,21000,2022-01-01 00:00:00,H,39.62,Ocean Pride,TSUEN WAN
Mid-Levels West,2452,138000,2022-01-01 00:00:00,M,56.28,55 Conduit Road,CENTRAL & WESTERN
Mei Foo,690,20000,2022-01-01 00:00:00,M,28.99,Mei Foo Sun Chuen,SHAM SHUI PO
Mei Foo,855,30000,2022-01-01 00:00:00,M,35.09,Mei Foo Sun Chuen,SHAM SHUI PO
Pak Shek Kok | Tai Po Mid-levels,1053,30000,2022-01-01 00:00:00,L,28.49,Mayfair By The Sea,TAI PO
Tai Wai,228,12000,2022-01-01 00:00:00,M,52.63,The Garrison,SHA TIN
City One Shatin,304,12500,2022-01-01 00:00:00,H,41.12,City One Shatin,SHA TIN
Pak Shek Kok | Tai Po Mid-levels,929,29000,2022-01-01 00:00:00,L,31.22,Providence Bay,TAI PO
Tai Wai,677,23800,2022-01-01 00:00:00,L,35.16,Festival City,SHA TIN
Fanling,277,7600,2022-01-01 00:00:00,L,27.44,Cheung Wah Estate,NORTH
Clear Water Bay,1836,65000,2022-01-01 00:00:00,L,35.4,Mount Pavilia,SAI KUNG
Tai Mong Tsai,663,24500,2022-01-01 00:00:00,H,36.95,The Mediterranean,SAI KUNG
Kowloon Tong,1103,50000,2022-01-01 00:00:00,M,45.33,One Beacon Hill,KOWLOON CITY
Ma On Shan,296,11300,2022-01-01 00:00:00,L,38.18,Blossom,EASTERN
Tin Shui Wai,597,15500,2022-01-01 00:00:00,L,25.96,Central Park Towers,YUEN LONG
Tuen Mun South,330,12300,2022-01-01 00:00:00,H,37.27,Regency Bay,TUEN MUN
Tseung Kwan O,536,21000,2022-01-01 00:00:00,H,39.18,The Wings,SAI KUNG
Sai Ying Pun,831,48000,2022-01-01 00:00:00,H,57.76,The Nova,CENTRAL & WESTERN
Sai Wan Ho,496,23000,2022-01-01 00:00:00,H,46.37,Grand Promenade,EASTERN
Sai Wan Ho,499,22000,2022-01-01 00:00:00,M,44.09,Grand Promenade,EASTERN
So Kwun Wat,465,14500,2022-01-01 00:00:00,L,31.18,Oma Oma,SOUTHERN
So Kwun Wat,223,6800,2022-01-01 00:00:00,L,30.49,Emerald Bay,TUEN MUN
So Kwun Wat,747,21000,2022-01-01 00:00:00,M,28.11,Napa,TUEN MUN
Tung Chung Town Centre,482,13500,2022-01-01 00:00:00,M,28.01,Century Link,ISLANDS
Tseung Kwan O,438,15800,2022-01-01 00:00:00,L,36.07,Park Central,SAI KUNG
Ma On Shan,496,17800,2022-01-01 00:00:00,H,35.89,Double Cove,SHA TIN
Tin Shui Wai,504,13000,2022-01-01 00:00:00,H,25.79,Central Park Towers,YUEN LONG
Tseung Kwan O,1987,86000,2022-01-01 00:00:00,Others,43.28,Capri,SAI KUNG
Tseung Kwan O,468,18300,2022-01-01 00:00:00,H,39.1,Savannah,SAI KUNG
Tseung Kwan O,539,21300,2022-01-01 00:00:00,L,39.52,The Wings,SAI KUNG
Wan Chai,318,12000,2022-01-01 00:00:00,L,37.74,East Asia Mansion,WAN CHAI
North Point Mid-Levels,1090,53000,2022-01-01 00:00:00,M,48.62,Braemar Hill Mansions,EASTERN
North Point,616,14500,2022-01-01 00:00:00,M,23.54,Kiu Kwan Mansion,EASTERN
Kowloon Station,1060,48800,2022-01-01 00:00:00,H,46.04,The Harbourside,EASTERN
Causeway Bay,422,17000,2022-01-01 00:00:00,L,40.28,Viking Garden,WAN CHAI
Sai Wan Ho,499,20000,2022-01-01 00:00:00,M,40.08,Grand Promenade,EASTERN
Tuen Mun South,437,11000,2022-01-01 00:00:00,L,25.17,Hanford Garden,TUEN MUN
Siu Hong,383,10000,2022-01-01 00:00:00,L,26.11,Parkland Villas,TUEN MUN
Tuen Mun South,584,14500,2022-01-01 00:00:00,M,24.83,Hanford Garden,TUEN MUN
Heng Fa Chuen,659,19800,2022-01-01 00:00:00,L,30.05,Heng Fa Chuen,EASTERN
Heng Fa Chuen,561,20000,2022-01-01 00:00:00,M,35.65,Heng Fa Chuen,EASTERN
Chai Wan,450,15400,2022-01-01 00:00:00,M,34.22,Bayview Park,EASTERN
Four Little Dragons,512,18000,2022-01-01 00:00:00,M,35.16,Banyan Garden,SHAM SHUI PO
Tsing Lung Tau,792,17800,2022-01-01 00:00:00,M,22.47,Hong Kong Garden,CENTRAL & WESTERN
So Kwun Wat,322,8000,2022-01-01 00:00:00,M,24.84,Emerald Bay,TUEN MUN
Mid-Levels Central,657,30800,2022-01-01 00:00:00,L,46.88,Hillsborough Court,CENTRAL & WESTERN
Kornhill,466,16500,2022-01-01 00:00:00,H,35.41,Kornhill,EASTERN
Quarry Bay,439,16000,2022-01-01 00:00:00,M,36.45,Kornville,EASTERN
Kornhill,529,21500,2022-01-01 00:00:00,H,40.64,Kornhill,EASTERN
Taikoo Shing,922,35000,2022-01-01 00:00:00,M,37.96,Taikoo Shing,EASTERN
Ap Lei CHau,450,21000,2022-01-01 00:00:00,H,46.67,Bonaire,SOUTHERN
Repulse Bay,1296,55000,2022-01-01 00:00:00,H,42.44,South Bay Garden,SOUTHERN
Happy Valley,1432,50000,2022-01-01 00:00:00,M,34.92,Beverly Hill,WAN CHAI
Wan Chai,311,15200,2022-01-01 00:00:00,M,48.87,Tai Yuen Court,WAN CHAI
Olympic Station,546,20000,2022-01-01 00:00:00,M,36.63,The Long Beach,YAU TSIM MONG
Sai Kung Town Centre,396,14000,2022-01-01 00:00:00,M,35.35,Park Mediterranean,SAI KUNG
Shap Pat Heung,512,13300,2022-01-01 00:00:00,H,25.98,Park Signature,YUEN LONG
Shap Pat Heung,272,9300,2022-01-01 00:00:00,L,34.19,Park Signature,YUEN LONG
Lohas Park,657,22500,2022-01-01 00:00:00,L,34.25,Lohas Park,SAI KUNG
Lohas Park,745,19000,2022-01-01 00:00:00,M,25.5,The Beaumount,SAI KUNG
Tseung Kwan O,365,17500,2022-01-01 00:00:00,H,47.95,The Wings,SAI KUNG
Hang Hau,524,16800,2022-01-01 00:00:00,H,32.06,Oscar By The Sea,SAI KUNG
Diamond Hill,426,14000,2022-01-01 00:00:00,L,32.86,Lung Poon Court,WONG TAI SIN
Four Little Dragons,523,19300,2022-01-01 00:00:00,M,36.9,Liberte,SHAM SHUI PO
San Po Kong,637,24800,2022-01-01 00:00:00,H,38.93,The Latitude,WONG TAI SIN
Tiu Keng Leng,633,20500,2022-01-01 00:00:00,H,32.39,Metro Town,SAI KUNG
Tiu Keng Leng,516,18000,2022-01-01 00:00:00,H,34.88,Ocean Shores,SAI KUNG
Cheung Sha Wan,268,10380,2022-01-01 00:00:00,M,38.73,Koon Wing Building,SHAM SHUI PO
Mid-Levels Central,1445,73000,2022-01-01 00:00:00,L,50.52,Bowen Place,CENTRAL & WESTERN
Kowloon Bay,375,15000,2022-01-01 00:00:00,L,40.0,Amoy Gardens,KWUN TONG
Lohas Park,783,20000,2022-01-01 00:00:00,H,25.54,Lohas Park,SAI KUNG
Lohas Park,693,17000,2022-01-01 00:00:00,L,24.53,The Beaumount,SAI KUNG
Ho Man Tin,1238,28000,2022-01-01 00:00:00,H,22.62,Star Court,KOWLOON CITY
Tai Kok Tsui,420,15300,2022-01-01 00:00:00,M,36.43,Metro Harbour View,YAU TSIM MONG
Lohas Park,510,16800,2022-01-01 00:00:00,H,32.94,Lohas Park,SAI KUNG
Tseung Kwan O,384,16000,2022-01-01 00:00:00,L,41.67,Park Central,SAI KUNG
San Po Kong,1595,43000,2022-01-01 00:00:00,M,26.96,The Latitude,WONG TAI SIN
San Po Kong,834,30000,2022-01-01 00:00:00,H,35.97,The Latitude,WONG TAI SIN
Wong Tai Sin,283,12000,2022-01-01 00:00:00,M,42.4,The Vista,WONG TAI SIN
Ngau Tau Kok,431,11800,2022-01-01 00:00:00,M,27.38,Lok Nga Court,KWUN TONG
Kowloon Bay,551,16000,2022-01-01 00:00:00,M,29.04,Telford Gardens,KWUN TONG
Kowloon Bay,282,11500,2022-01-01 00:00:00,L,40.78,Tak Bo Garden,KWUN TONG
Po Lam,441,16800,2022-01-01 00:00:00,H,38.1,The Metro City,SAI KUNG
Cheung Sha Wan,462,17500,2022-01-01 00:00:00,L,37.88,The Campton,WAN CHAI
Kowloon Bay,378,14000,2022-01-01 00:00:00,M,37.04,Amoy Gardens,KWUN TONG
Kowloon Bay,378,14000,2022-01-01 00:00:00,L,37.04,Amoy Gardens,KWUN TONG
Kowloon Bay,356,14300,2022-01-01 00:00:00,M,40.17,Amoy Gardens,KWUN TONG
Kwun Tong,862,30000,2022-01-01 00:00:00,H,34.8,Grand Central,KWUN TONG
Kai Tak New Area,635,23200,2022-01-01 00:00:00,L,36.54,Victoria Skye,KOWLOON CITY
Olympic Station,574,27000,2022-01-01 00:00:00,H,47.04,Florient Rise,YAU TSIM MONG
Tseung Kwan O,406,15000,2022-01-01 00:00:00,L,36.95,Park Central,SAI KUNG
Sham Shui Po,506,19500,2022-01-01 00:00:00,L,38.54,Seaside Sonata,YAU TSIM MONG
Wong Tai Sin,521,20000,2022-01-01 00:00:00,M,38.39,Lions Rise,WONG TAI SIN
Tseung Kwan O,473,17000,2022-01-01 00:00:00,M,35.94,The Grandiose,SAI KUNG
Tseung Kwan O,503,16500,2022-01-01 00:00:00,M,32.8,The Grandiose,SAI KUNG
Kwun Tong,594,20500,2022-01-01 00:00:00,L,34.51,Grand Central,KWUN TONG
Lam Tin,517,15000,2022-01-01 00:00:00,M,29.01,Laguna City,KWUN TONG
Kwun Tong,830,26000,2022-01-01 00:00:00,M,31.33,Grand Central,KWUN TONG
Lam Tin,522,14000,2022-01-01 00:00:00,L,26.82,Laguna City,KWUN TONG
Lohas Park,654,16800,2022-01-01 00:00:00,L,25.69,Lohas Park,SAI KUNG
Lohas Park,733,18800,2022-01-01 00:00:00,M,25.65,Lohas Park,SAI KUNG
Lohas Park,994,22000,2022-01-01 00:00:00,L,22.13,Lohas Park,SAI KUNG
Po Lam,363,15000,2022-01-01 00:00:00,L,41.32,The Metro City,SAI KUNG
Tiu Keng Leng,633,24000,2022-01-01 00:00:00,H,37.91,Metro Town,SAI KUNG
Tseung Kwan O,549,22000,2022-01-01 00:00:00,H,40.07,The Wings,SAI KUNG
Tseung Kwan O,399,16500,2022-01-01 00:00:00,H,41.35,The Parkside,SAI KUNG
Tseung Kwan O,657,30000,2022-01-01 00:00:00,H,45.66,Alto Residences,SAI KUNG
Ma Tau Wai,692,31000,2022-01-01 00:00:00,M,44.8,18 Farm Road,KOWLOON CITY
Happy Valley,1346,43000,2022-01-01 00:00:00,H,31.95,Beverly Hill,WAN CHAI
Tung Chung Town Centre,748,19000,2022-01-01 00:00:00,M,25.4,Caribbean Coast,ISLANDS
Tung Chung Town Centre,756,19000,2022-01-01 00:00:00,M,25.13,Caribbean Coast,ISLANDS
Discovery Park,485,15000,2022-01-01 00:00:00,M,30.93,Discovery Park,TSUEN WAN
Discovery Park,682,18700,2022-01-01 00:00:00,H,27.42,Discovery Park,TSUEN WAN
Kai Tak New Area,350,15800,2022-01-01 00:00:00,L,45.14,Vibe Centro,KOWLOON CITY
Shau Kei Wan,281,13500,2022-01-01 00:00:00,L,48.04,Lime Gala,EASTERN
Shau Kei Wan,307,14000,2022-01-01 00:00:00,M,45.6,Lime Gala,EASTERN
Ma Wan,583,16800,2022-01-01 00:00:00,M,28.82,Park Island,TSUEN WAN
Ma Wan,476,13800,2022-01-01 00:00:00,M,28.99,Park Island,TSUEN WAN
Sai Wan Ho,393,19000,2022-01-01 00:00:00,L,48.35,Island Residence,EASTERN
Mid-Levels Central,890,36000,2022-01-01 00:00:00,H,40.45,Phoenix Court,YUEN LONG
Mid-Levels Central,962,41000,2022-01-01 00:00:00,L,42.62,Monmouth Place,WAN CHAI
Siu Hong,389,11000,2022-01-01 00:00:00,L,28.28,Parkland Villas,TUEN MUN
San Po Kong,535,20000,2022-01-01 00:00:00,H,37.38,The Latitude,WONG TAI SIN
Ho Man Tin,568,21500,2022-01-01 00:00:00,L,37.85,Padek Palace,KOWLOON CITY
Lung Ping,1259,30000,2022-01-01 00:00:00,L,23.83,Villa Carlton,SHAM SHUI PO
Tai Wai,282,10300,2022-01-01 00:00:00,L,36.52,Golden Lion Garden,SHA TIN
Happy Valley,1240,75000,2022-01-01 00:00:00,M,60.48,The Leighton Hill,WAN CHAI
Belvedere,668,16800,2022-01-01 00:00:00,H,25.15,Belvedere Garden,TSUEN WAN
Yau Kom Tau | Ting Kau,1015,28800,2022-01-01 00:00:00,L,28.37,Golden Villa,SHAM SHUI PO
To Kwa Wan,228,11000,2022-01-01 00:00:00,H,48.25,Upper East,KOWLOON CITY
Luk Yeung,451,15000,2022-01-01 00:00:00,L,33.26,Luk Yeung Sun Chuen,TSUEN WAN
Luk Yeung,582,17000,2022-01-01 00:00:00,H,29.21,Luk Yeung Sun Chuen,TSUEN WAN
Luk Yeung,451,15700,2022-01-01 00:00:00,H,34.81,Luk Yeung Sun Chuen,TSUEN WAN
Ma On Shan,536,18000,2022-01-01 00:00:00,L,33.58,Villa Oceania,SHA TIN
Ma On Shan,823,28000,2022-01-01 00:00:00,M,34.02,Double Cove,SHA TIN
